srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
46:85:00:12:35:54,40:31:3c:d3:23:d4,0x0800,*,192.168.137.1,*,17,67,*,1400,*,*,2408,7
40:31:3c:d3:23:d4,46:85:00:12:35:54,0x0800,*,*,192.168.137.1,17,*,67,1400,*,*,1400,4
40:31:3c:d3:23:d4,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1050,3
40:31:3c:d3:23:d4,46:85:00:12:35:54,0x0800,*,*,192.168.137.1,17,*,53,1001,*,*,75,1
46:85:00:12:35:54,40:31:3c:d3:23:d4,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
46:85:00:12:35:54,40:31:3c:d3:23:d4,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
46:85:00:12:35:54,40:31:3c:d3:23:d4,0x0800,*,*,*,1,*,*,1000,*,*,0,0
40:31:3c:d3:23:d4,46:85:00:12:35:54,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
40:31:3c:d3:23:d4,46:85:00:12:35:54,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
40:31:3c:d3:23:d4,46:85:00:12:35:54,0x0800,*,*,*,1,*,*,1000,*,*,0,0
46:85:00:12:35:54,40:31:3c:d3:23:d4,0x0800,*,*,*,17,123,*,1000,*,*,0,0
40:31:3c:d3:23:d4,46:85:00:12:35:54,0x0800,*,*,*,17,*,123,1000,*,*,0,0
46:85:00:12:35:54,40:31:3c:d3:23:d4,*,*,*,*,17,53,*,1000,*,*,342,2
40:31:3c:d3:23:d4,46:85:00:12:35:54,*,*,*,*,17,*,53,1000,*,*,75,1
*,40:31:3c:d3:23:d4,0x0806,*,*,*,*,*,*,1000,*,*,168,4
40:31:3c:d3:23:d4,*,0x0806,*,*,*,*,*,*,1000,*,*,420,10
40:31:3c:d3:23:d4,46:85:00:12:35:54,0x0800,*,*,de.ot.io.mi.com,17,*,8053,810,*,*,67582,563
40:31:3c:d3:23:d4,46:85:00:12:35:54,0x0800,*,*,*,17,*,*,800,*,*,148,2
40:31:3c:d3:23:d4,46:85:00:12:35:54,0x0800,*,*,*,6,*,*,800,*,*,0,0
46:85:00:12:35:54,40:31:3c:d3:23:d4,0x0800,*,de.ot.io.mi.com,*,17,8053,*,710,*,*,73182,563
46:85:00:12:35:54,40:31:3c:d3:23:d4,0x0800,*,*,*,17,*,*,700,*,*,0,0
46:85:00:12:35:54,40:31:3c:d3:23:d4,0x0800,*,*,*,6,*,*,700,*,*,0,0
40:31:3c:d3:23:d4,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,40:31:3c:d3:23:d4,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,40:31:3c:d3:23:d4,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,40:31:3c:d3:23:d4,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,40:31:3c:d3:23:d4,0x0800,*,*,*,6,*,*,600,*,*,0,0
