srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
b2:e6:bd:8d:cf:64,1c:3b:f3:4d:36:04,0x0800,*,192.168.2.1,*,17,67,*,1400,*,*,0,0
1c:3b:f3:4d:36:04,b2:e6:bd:8d:cf:64,0x0800,*,*,192.168.2.1,17,*,67,1400,*,*,0,0
1c:3b:f3:4d:36:04,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,*,1300,*,*,1050,25
1c:3b:f3:4d:36:04,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,0,0
1c:3b:f3:4d:36:04,b2:e6:bd:8d:cf:64,0x0800,*,*,192.168.2.1,17,*,53,1001,*,*,243,3
b2:e6:bd:8d:cf:64,1c:3b:f3:4d:36:04,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
b2:e6:bd:8d:cf:64,1c:3b:f3:4d:36:04,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
b2:e6:bd:8d:cf:64,1c:3b:f3:4d:36:04,0x0800,*,*,*,1,*,*,1000,*,*,0,0
1c:3b:f3:4d:36:04,b2:e6:bd:8d:cf:64,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
1c:3b:f3:4d:36:04,b2:e6:bd:8d:cf:64,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
1c:3b:f3:4d:36:04,b2:e6:bd:8d:cf:64,0x0800,*,*,*,1,*,*,1000,*,*,0,0
b2:e6:bd:8d:cf:64,1c:3b:f3:4d:36:04,0x0800,*,*,*,17,123,*,1000,*,*,0,0
1c:3b:f3:4d:36:04,b2:e6:bd:8d:cf:64,0x0800,*,*,*,17,*,123,1000,*,*,0,0
b2:e6:bd:8d:cf:64,1c:3b:f3:4d:36:04,*,*,*,*,17,53,*,1000,*,*,644,4
1c:3b:f3:4d:36:04,b2:e6:bd:8d:cf:64,*,*,*,*,17,*,53,1000,*,*,81,1
*,1c:3b:f3:4d:36:04,0x0806,*,*,*,*,*,*,1000,*,*,126,3
1c:3b:f3:4d:36:04,*,0x0806,*,*,*,*,*,*,1000,*,*,0,0
1c:3b:f3:4d:36:04,b2:e6:bd:8d:cf:64,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,9747,34
1c:3b:f3:4d:36:04,b2:e6:bd:8d:cf:64,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,6940,25
1c:3b:f3:4d:36:04,b2:e6:bd:8d:cf:64,0x0800,*,*,*,17,*,*,800,*,*,0,0
1c:3b:f3:4d:36:04,b2:e6:bd:8d:cf:64,0x0800,*,*,*,6,*,*,800,*,*,1931,15
b2:e6:bd:8d:cf:64,1c:3b:f3:4d:36:04,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,18016,42
b2:e6:bd:8d:cf:64,1c:3b:f3:4d:36:04,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,14920,32
b2:e6:bd:8d:cf:64,1c:3b:f3:4d:36:04,0x0800,*,*,*,17,*,*,700,*,*,0,0
b2:e6:bd:8d:cf:64,1c:3b:f3:4d:36:04,0x0800,*,*,*,6,*,*,700,*,*,4255,13
1c:3b:f3:4d:36:04,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,1c:3b:f3:4d:36:04,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,1c:3b:f3:4d:36:04,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,1c:3b:f3:4d:36:04,0x0800,*,*,*,17,*,*,600,*,*,904,8
*,1c:3b:f3:4d:36:04,0x0800,*,*,*,6,*,*,600,*,*,4803,37
