frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  6, 2020 17:28:26.373214000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310070000000000721ae555edbb6183ffe97b116da93f59f7b48c6c3f0f88d303a7493a4889006ffae411729be86f0be5cbacde216dd13ec6196971036f0336236f02abfbcb61edddb8acca68f5ad09e4ce41b94d77d9076765b58e89daba4f058fdaea2be417ac128895f8226fa4d","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"2","Jun  6, 2020 17:28:26.631536000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310040000000000721ae555edbb6192afe2ba5831e2a12114d68b58f90ea5f47e82de4f0d944c64e0cc5a9cf09581abe0f6f03368fee615d63ae3825def66f","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"3","Jun  6, 2020 17:28:26.641118000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310060000000000721ae555edbb61901c31c5fd67833c5b56dc4733b81d77ee3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743a9ef1b985524b109cba430c2f94f4d0296537de5d101447adfab24b6d18ba235","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"4","Jun  6, 2020 17:28:26.672940000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310040000000000721ae555edbb61943820088bfde70edcfe2b9e57f36008c6ac70906efa21ed9f915fa8b5ed3fa2212d960cba549cffb8103c77c8f521298","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"5","Jun  6, 2020 17:28:26.867568000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310070000000000721ae555edbb61ac63a7ffa4c43ba7b90e9de38647b7a7b303a7493a4889006ffae411729be86f07610e9ed55971eee6a942e2e2ea7fb458867fef90c782ac9d1c312a1bbb4db9335a9c9ae4d375c978326defe903600964b61cd87fe8c59f12f0b772020cf28a6","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"6","Jun  6, 2020 17:28:26.938148000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310040000000000721ae555edbb61988c347853d30d83da3698d09aa41dd2647e82de4f0d944c64e0cc5a9cf09581a8b751bbd06f93445a4d98962ac5fa569","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"7","Jun  6, 2020 17:28:27.384434000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310070000000000721ae555edbb619fc38b7801e27fa029b3a1bb9311561eb303a7493a4889006ffae411729be86f07c40ac065866a19c4582a15117a23d60c3bfc80f5958cee9bbe3a447bc21b9e6b6420a88b59049026215e1d537387fa92b05d9fc3fdc1a925a4664a9a16e2b29","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"8","Jun  6, 2020 17:28:27.553905000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310040000000000721ae555edbb61adcd8a1cd2436f4301b728b7ac4b16d5647e82de4f0d944c64e0cc5a9cf09581ad91416c5bd2ed6ce01d5ae8848ce0467","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"9","Jun  6, 2020 17:28:27.843958000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310060000000000721ae555edbb61a4d835c0fa6ee4f90355d5eccb252ad95e3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743bde72d25a6f3160b54169e801215ce6ed1e1d1d5c05644b24c1ee73858e46a3b","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"10","Jun  6, 2020 17:28:27.905304000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310040000000000721ae555edbb61a3a0dc9651b36c88b92fc64579398db6b4cf023bc3a362636385d51338d76c8bcbbf5b036d5b5a8eda6117b0641aad069","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
