frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  6, 2020 17:38:09.842965000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310070000000000721ae555edbb860ac03f1816ab926484f8a58ac3d8a6e5e303a7493a4889006ffae411729be86f0ecc4e8673e642bf0f747727fcb16cc4647030564f219cdba12cc7dc4a68543c1af81677617b290909fdfa519e2428e489bdc2810a277f963923acdfca34de289","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"2","Jun  6, 2020 17:38:10.015290000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","ff:ff:ff:ff:ff:ff",,,,,,,,,"XIAOMI Electronics,CO.,LTD",,,
"3","Jun  6, 2020 17:38:10.015292000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310040000000000721ae555edbb861700bbfae565901a7821134713b3c3c51301c82207e1f8dd1035dd5100e21908e15b9563350d1e8714f42b81b8b40416c","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"4","Jun  6, 2020 17:38:10.015328000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4",,,,,,,,,"XIAOMI Electronics,CO.,LTD",,,
"5","Jun  6, 2020 17:38:14.658045000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310070000000000721ae555edbb865f06d004877756791d836bcd9e4177ff9303a7493a4889006ffae411729be86f097dd6e30fa4ab86e1e96834d8fa7676f9f33192596509f21e297c99056ce7fb8335c47b55b6a07ed772c42ec3ab600d689cf7ba5c7ee2569f8bef1006919b901","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"6","Jun  6, 2020 17:38:14.658187000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310060000000000721ae555edbb8654597f2435b9c1f8e7aade6692a4a2f23303a7493a4889006ffae411729be86f00d7e29f81fac9cbf3893a103a52242102d3ba591f573eb3113ac9d2d26fdf4ab658319aff5ac0608051348ea8eca9f01","96","8053","54321","104","XIAOMI Electronics,CO.,LTD",,,
"7","Jun  6, 2020 17:38:14.947769000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310040000000000721ae555edbb86535baad1c4d3a1f979c74af4134e648db47e82de4f0d944c64e0cc5a9cf09581a075ca7c29c9f1a180c86c805abc87a76","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"8","Jun  6, 2020 17:38:14.954280000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310060000000000721ae555edbb866efb3339d193e29a28a79224b25c39ba2e3fafc8f5abaada60b30ee7a1337a1a1960bbae54be6534198d232d3b2f19be4a1e3451f900b213f3b9367b3cafe1f782ebca68c2b8e01a9702331d1254ba185","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"9","Jun  6, 2020 17:38:14.958292000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310040000000000721ae555edbb86610da6229a79b79f451a00c2e430669281878a73bca52d4e08c27dbba46fb6113a2c53c527b453c4c8e0b1a544982b079","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"10","Jun  6, 2020 17:38:14.974512000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310040000000000721ae555edbb866a3e25e05ee282bab0355ee6dc496ab7e23629ceaf99db12971e5682ea363ef1e64b1a201e70420d3403b15d2e9257d44","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
