frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 14, 2020 10:32:05.472901000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310020000000000721ae555ee5e083797a8f40c0bae0b65f11844aec3cb27f","32","54321","8053","40","XIAOMI Electronics,CO.,LTD",,,
"2","Jun 14, 2020 10:32:05.560611000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310020000000000721ae555ee5e083797a8f40c0bae0b65f11844aec3cb27f","32","8053","54321","40","XIAOMI Electronics,CO.,LTD",,,
"3","Jun 14, 2020 10:32:08.222124000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5e08638b695e07aa620e3eb20890d368564a9303a7493a4889006ffae411729be86f0c1778867a94c784adcfc79ed53f8e70b67edb2a82f2f99aa8c3a5d34cd99fdea4f01bf7bc46672ff7a553cecca66ff2b0dd0bf81f58066937b8c1b9cfc03fea3","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"4","Jun 14, 2020 10:32:08.286965000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5e086185d8a795c459ce0c68f34dbab41a092301c82207e1f8dd1035dd5100e21908e0be7d4c8c3ff23a7ec9f0af4486d886e","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"5","Jun 14, 2020 10:32:11.990426000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","ff:ff:ff:ff:ff:ff","192.168.137.1","192.168.137.255","17","53706f7455647030595a3ade107cf954000100044895c203ef7a6f0c16b5f36a61c6ef69e5aa60dfae24e914","44","57621","57621","52",,,,
"6","Jun 14, 2020 10:32:13.644898000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5e08b5f7b43d384a93392916c258f90df6e09303a7493a4889006ffae411729be86f07ffb1383fef04e986d37389f491d200d3feb7eb76bdc566490e9858aad18c32ebe256228c19f804c8ec261f073efd81de70278c63f087d9fb5189ef9704a661f","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"7","Jun 14, 2020 10:32:13.835101000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5e08bd90e5e6c94e166990a901264c0b68dff47e82de4f0d944c64e0cc5a9cf09581a597cd95073f3e1c2bdec7526dd6c7483","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"8","Jun 14, 2020 10:32:13.841425000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5e08bc22627479f16f437635d5c2085bad551e3fafc8f5abaada60b30ee7a1337a1a1960bbae54be6534198d232d3b2f19be4a1e3451f900b213f3b9367b3cafe1f78a611efb7aa55e99e969efaba5c13338d","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"9","Jun 14, 2020 10:32:13.855630000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5e08b7b1a0640468c169787cb6833e26b8f5ef5f3edb625ec77709cd5a9f069248af2abd6924e5d70c534fe7d456497aa9cfb","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"10","Jun 14, 2020 10:32:19.686999000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310060000000000721ae555ee5e090fa392a2342c8110f5ccefbb3b0891934303a7493a4889006ffae411729be86f044d9226b925c8354b49ecee26b09bcfc8b3c4b3ff58d503060f4d8100fee822e0d35be5e38ab94da9e509e90c0650633","96","8053","54321","104","XIAOMI Electronics,CO.,LTD",,,
"11","Jun 14, 2020 10:32:19.986185000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5e091f9f67cfd72c2708b0d1e76838a14707b1878a73bca52d4e08c27dbba46fb6113c893214a65481e061b9d5b05f4c6a767","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"12","Jun 14, 2020 10:32:20.004497000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","53",,,,
"13","Jun 14, 2020 10:32:21.901349000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:7f:ff:fa","192.168.137.1","239.255.255.250","17",,,"51360","1900","134",,,,
