frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 14, 2020 10:22:07.216897000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de2c1ced1cfc6eea5b3261a0de3f9a172a9f303a7493a4889006ffae411729be86f0ec4d16839d5d6b443599bf2ea3060c4a07ad97043738798ae3124b1fdd6de3e037045742e349fb5970024f24b2fd69e143bee865037c4a3a7c14d8cc7edee20c","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"2","Jun 14, 2020 10:22:07.390833000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de2d1f15feb427e310d7ff8d08f2dc4d11ea47e82de4f0d944c64e0cc5a9cf09581a7024692e011761ee87362cc09076e8b5","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"3","Jun 14, 2020 10:22:07.397897000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de2d5652f4d75be17b4c4b734e8a96ed126ae3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d6015204114ac98f20e3e7540261850b369baad202bb786cb821b7b6b0daee4544b","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"4","Jun 14, 2020 10:22:07.428555000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de2d9593a71885b79fc610d595d53daddd4d6c8c12594dc313c1e2e2f3dfd7b8a183286b68e87d3c1448d2cc159cce068875","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"5","Jun 14, 2020 10:22:07.725402000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de2dd8e92acc12abffddc1bb1697b0849b18303a7493a4889006ffae411729be86f0c84d999b351a24bf226266b4881769951b5e62430ce2ac6d38775d2156b25c2125cd0f1b8a8c805df7cc7732ad3d9c9f172562daf901ee1bf3e8a0d8b183df3d","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"6","Jun 14, 2020 10:22:08.006501000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de2db5b4df2a973134c18c5eed5fb5f8c7b647e82de4f0d944c64e0cc5a9cf09581a8fb3ee6b78c2be38a1f55894bab0695e","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"7","Jun 14, 2020 10:22:08.238835000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de2dca639cca72cbd8785117faccf70404ad303a7493a4889006ffae411729be86f08ef34e307fb64a63a4f3024607c42e83ae9a06a8fd88030e923e4ea581cb62fea3c415e9d48c84d323808aa0c88128f414aa85f63ce4194295e1fef18300b00f","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"8","Jun 14, 2020 10:22:08.312458000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de2e8ca4d14fb9804f77e08c3b59d669d79547e82de4f0d944c64e0cc5a9cf09581a5b63a6a465cc812a6448beb339e1fb03","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"9","Jun 14, 2020 10:22:08.614859000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de2e20a3f9ac4f56d73f4942b4e6c5cd644be3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d608df083f71df195a283bd9e92198810bc7e42de5d1a024400917fef052ed9695d","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"10","Jun 14, 2020 10:22:08.656951000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de2e7a69aa782332e91990496eca369544fb3c637a18ea43a236a05af8eb52520afe608ba57c22b189332969f8c8e79b3173","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"11","Jun 14, 2020 10:22:09.260813000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de2f51a4bd532a0b35051fda443f2352e780303a7493a4889006ffae411729be86f0a342bc70788f90316b7775f422956ff471f557730413e0a74b1bd4bf5585f474b3ffe65f76674cac8118a1418e467ceee2eef706b39b84dba34446241c3c1ac6","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"12","Jun 14, 2020 10:22:09.540609000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de2ff991b64f9ce508b66df31023d1854c0447e82de4f0d944c64e0cc5a9cf09581ae8a02ba4b8033a38a14d4a01f2e794b2","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
