frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 14, 2020 10:22:51.967265000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de59c581c121c751311c8817b7d4f622aa88303a7493a4889006ffae411729be86f02d27b0d528240ea6abc990ab8c90a5e80ddd3cde96c6eccf1d7e21d870fd3a87f800b49202979c2209198d09e8a6d22622d2b25695fd5f7ad4b4805ba418220b","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"2","Jun 14, 2020 10:22:52.242543000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","ff:ff:ff:ff:ff:ff",,,,,,,,,"XIAOMI Electronics,CO.,LTD",,,
"3","Jun 14, 2020 10:22:52.242553000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de5aba7e64391f7d8539d773624f91d6622b47e82de4f0d944c64e0cc5a9cf09581a68251bdbc9097242663a5fe851ec3c2d","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"4","Jun 14, 2020 10:22:52.242600000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4",,,,,,,,,"XIAOMI Electronics,CO.,LTD",,,
"5","Jun 14, 2020 10:22:52.477400000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de5a62f8fde6c67dd30f065205524143ef22303a7493a4889006ffae411729be86f04233b43be0a6fa87a9c122569dac6b7ce2cca5c0b6f2d18648a1b526c911ec15820b0bbf65ea665f8b6d38e2a7d508ec7286ae90fb1e2e83d18fd5f6859cda2d","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"6","Jun 14, 2020 10:22:52.550358000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de5ae9119799ee11ef03593336e52c15cac947e82de4f0d944c64e0cc5a9cf09581a2de05d697ff69a25cbbc1a6c660ec877","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"7","Jun 14, 2020 10:22:52.560641000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de5a7dca2e392f4a0fccba3ca5f246949a40e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60b58eb62874fbd8c0cea86cea96f891b4c49528b63c0d0c99ce8c8ea6bab34853","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"8","Jun 14, 2020 10:22:52.587552000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de5ab71379a58c3949c46245bbb34f40b404a8a4abd171f09bc2141aa191156a66b3f5c5045f20aee732d7be3fff920bde6a","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"9","Jun 14, 2020 10:22:53.502633000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de5b2d51c711497cc253e4bfae6b0c32e33c303a7493a4889006ffae411729be86f01e67c507d0441130cd40eff6847bd736e64c3079ff9f7b194f1615d0fe20a6a50338bce2e9ecfacf9da27e5210c5a2ed155465c7d6e24cd429b89f7d3003daf0","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"10","Jun 14, 2020 10:22:53.781069000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de5b401af79c49a060a486d4492cee5975cc47e82de4f0d944c64e0cc5a9cf09581a0a7140d7e0173ce8d32dc48390294437","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"11","Jun 14, 2020 10:22:53.788766000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de5b14c92de71bc3db5c07c2802f97598dbde3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60775eef9edf245d3c13424f27d4678a590accf30c809d0a1323994cf86eedcaee","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"12","Jun 14, 2020 10:22:53.816415000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de5b8e0a99e2bc2b48cb2b11449023c2d08297a438aa9fea2cf886eb7af81f69c2ddac7a39fd3ad3f0932dc157da46c82516","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"13","Jun 14, 2020 10:22:54.014282000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de5b4b2da00eb90ab8f99e3b93136e083360303a7493a4889006ffae411729be86f0d027333d20b35d85c9d70fb7e6b5b8c37fa89b7c3be9633151f132ede411a760ff906769ed8970275be60bdd7b46743e15bcf86ebba0705ae9ac52030e980f6c","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"14","Jun 14, 2020 10:22:54.088980000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de5c7a46f3175c6d03197658a4c4324b31ce47e82de4f0d944c64e0cc5a9cf09581a10e986537e1074480f17f2e4655dab1e","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"15","Jun 14, 2020 10:22:54.436804000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de5c9ccf501d056e47b683cc4db37ee0877f303a7493a4889006ffae411729be86f04fc2b2d10e93bffbaaaa2e37dacd1fb02e500339d65139ca1ada1b59c142917703a017271dac5229af603c6297073c38f975b80f9ad720feb59a3f9f7a57d64b","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"16","Jun 14, 2020 10:22:54.448026000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de5c7791b6cbf196d6f8628d8259089792c247e82de4f0d944c64e0cc5a9cf09581a1da3607b4ac51212fb807fc96f6169a6","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"17","Jun 14, 2020 10:22:54.932782000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de5dcc0bc8c6558541708c64acbfa789912d303a7493a4889006ffae411729be86f0c381e46d62d86d556ade063c08ed78dd3da120c5ea12d705ed2b78f726a51c18b246d63a65241dedcc77a66ca6086a6834a40d56358d2fb988aa638c76bd59ac","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"18","Jun 14, 2020 10:22:54.957783000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de5c5972f8e53dd60a7cac0aa95e3ded680447e82de4f0d944c64e0cc5a9cf09581a48c67ff372522e7b0b30b5be4705e3b2","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"19","Jun 14, 2020 10:22:55.003304000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de5c586db3c9e40b7186fe0c61e6b0b0fd5ee3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60c1f424ea0bbc6ad12794d9efba194d758c5dc68e41e9028e2bafe3c644da96a9","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"20","Jun 14, 2020 10:22:55.045548000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de5c95cb35fab358cf6713119cc52e0aca6c1082e735135a104bc9ca6ddb423a5e4b1c18615ba46ac4cc56a1c67e73fb981b","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
