frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 14, 2020 10:28:13.120990000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:01:00:03",,,,,,"49915","5355","30",,,,
"2","Jun 14, 2020 10:28:13.121336000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:01:00:03",,,,,,"53603","5355","30",,,,
"3","Jun 14, 2020 10:28:13.122041000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fc","192.168.137.1","224.0.0.252","17",,,"53603","5355","30",,,,
"4","Jun 14, 2020 10:28:13.122155000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fc","192.168.137.1","224.0.0.252","17",,,"49915","5355","30",,,,
"5","Jun 14, 2020 10:28:13.707325000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","36",,,,
"6","Jun 14, 2020 10:28:13.709746000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:00:00:fb",,,,,,"5353","5353","36",,,,
"7","Jun 14, 2020 10:28:13.712973000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","36",,,,
"8","Jun 14, 2020 10:28:13.715224000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:00:00:fb",,,,,,"5353","5353","36",,,,
"9","Jun 14, 2020 10:28:13.718755000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","36",,,,
"10","Jun 14, 2020 10:28:13.721652000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:00:00:fb",,,,,,"5353","5353","36",,,,
"11","Jun 14, 2020 10:28:13.725586000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","36",,,,
"12","Jun 14, 2020 10:28:13.728799000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:00:00:fb",,,,,,"5353","5353","36",,,,
"13","Jun 14, 2020 10:28:14.024399000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df9b8170e3614b410050b39bcf2be48ce550303a7493a4889006ffae411729be86f07407fd69e65fb1edac8d8e3c55c403cd50816fde3fb8fc575442fa3e6bb0d238a1d570d3a3e408b792e93ee8de22b822fdfb910fc1b2790e3d34fbff600853b6","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"14","Jun 14, 2020 10:28:14.197322000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df9c53149fbf8d01e51a118f14317302b04d47e82de4f0d944c64e0cc5a9cf09581afa66af7388c82126c5f4429c91d34270","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
