frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 14, 2020 09:58:02.587734000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d88998b0a732b2ef3da4461364e389f0346fe3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743898a126b3fc9b3b20e373fd67b9a8246fee1a3fc6ee8cbbe77a6c969025ca08f","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"2","Jun 14, 2020 09:58:02.632327000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d8899825048be4cf798d8003b1fe722f933e80370e4d38702e5793eadd2d2da7315e591ba74649bd5dfd7b752e39200c0b90","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"3","Jun 14, 2020 09:58:03.688996000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d88a5aaabb408c91b9a21a82a147f52a1c76e3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b467433b30c7b849132d6ca90c351b4c4297ba3accc9c3883c2e6d28391c21cfa50b6f","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"4","Jun 14, 2020 09:58:03.765663000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d88afdc1a6a4366ab3dce49acc1bc237e8de23703acf6170a33fc291a4a9d3da6fbede8ad39f115999ab4f8745f4371d9b9f","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"5","Jun 14, 2020 09:58:04.997799000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d88bcbb9b31f2a2989dd383ecd3506d4fdece3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b4674352e6db480fd10b342c27e14d4a0cdd9883679351d63602ba849db413574337fe","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"6","Jun 14, 2020 09:58:05.093297000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d88b3f58af96a5c3d5d8b190809f25e5fc27dd6a409c10b438bc648c4031fb2b9833d218e4e761046eb6a897927d1a5c2b4f","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"7","Jun 14, 2020 09:58:05.304070000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d88c96158701a3dc3dd73a7ca9303ac4dc6fe3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b467439d10f853aee3e79fcac2435a56a547526765b8a226da3e00a82f5d09ecfd549b","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"8","Jun 14, 2020 09:58:05.492001000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d88c05b354f8988bfbc407f83f2fefb86e2a526d712f1ff03af2e89e74cb8bcef866cb077b88e6c1c12928d45c09b92c59a2","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"9","Jun 14, 2020 09:58:06.788705000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d88d5d0d7b4db968ebadc7070a222445e9b1e3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743e3ffd467f7dc46443731aeec2919d25c83df34601b28e21a15bddf5d5874a84a","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"10","Jun 14, 2020 09:58:06.832475000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d88daf6752fdb6fe6bfd5e2bccf45cf887b0542e6d33d7c14d4e48b2d0b79b32d70eb3d9670c6d59d6cb2ea74e7c65bf48e5","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
