frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:45:24.806860000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","ff:ff:ff:ff:ff:ff",,,,,,,,,"Zyxel Communications Corporation",,,
"2","Jun  8, 2020 09:45:25.325432000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"63237","53","50","Zyxel Communications Corporation",,,
"3","Jun  8, 2020 09:45:25.330609000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","63237","68","Tp-Link Technologies Co.,Ltd.",,,
"4","Jun  8, 2020 09:45:26.325559000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"63237","53","51","Zyxel Communications Corporation",,,
"5","Jun  8, 2020 09:45:26.325755000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"63237","53","52","Zyxel Communications Corporation",,,
"6","Jun  8, 2020 09:45:26.330665000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","63237","80","Tp-Link Technologies Co.,Ltd.",,,
"7","Jun  8, 2020 09:45:26.330681000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","63237","52","Tp-Link Technologies Co.,Ltd.",,,
"8","Jun  8, 2020 09:45:27.062932000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"41500","1900","335","Zyxel Communications Corporation",,,
"9","Jun  8, 2020 09:45:27.267856000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"41500","1900","335","Zyxel Communications Corporation",,,
"10","Jun  8, 2020 09:45:27.370156000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"41500","1900","344","Zyxel Communications Corporation",,,
"11","Jun  8, 2020 09:45:27.472723000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"41500","1900","344","Zyxel Communications Corporation",,,
"12","Jun  8, 2020 09:45:27.575404000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"41500","1900","399","Zyxel Communications Corporation",,,
"13","Jun  8, 2020 09:45:27.677962000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"41500","1900","399","Zyxel Communications Corporation",,,
"14","Jun  8, 2020 09:45:27.882676000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"46670","1900","409","Zyxel Communications Corporation",,,
"15","Jun  8, 2020 09:45:27.985015000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"46670","1900","409","Zyxel Communications Corporation",,,
"16","Jun  8, 2020 09:45:28.326694000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"49380","53","54","Zyxel Communications Corporation",,,
