frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:49:39.070925000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33428","1900","335","Zyxel Communications Corporation",,,
"2","Jun  8, 2020 09:49:39.275928000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33428","1900","335","Zyxel Communications Corporation",,,
"3","Jun  8, 2020 09:49:39.328099000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"63946","53","50","Zyxel Communications Corporation",,,
"4","Jun  8, 2020 09:49:39.328274000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"63946","53","54","Zyxel Communications Corporation",,,
"5","Jun  8, 2020 09:49:39.332879000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","63946","68","Tp-Link Technologies Co.,Ltd.",,,
"6","Jun  8, 2020 09:49:39.332885000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","63946","54","Tp-Link Technologies Co.,Ltd.",,,
"7","Jun  8, 2020 09:49:39.378402000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33428","1900","344","Zyxel Communications Corporation",,,
"8","Jun  8, 2020 09:49:39.480737000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33428","1900","344","Zyxel Communications Corporation",,,
"9","Jun  8, 2020 09:49:39.583469000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33428","1900","399","Zyxel Communications Corporation",,,
"10","Jun  8, 2020 09:49:39.685773000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33428","1900","399","Zyxel Communications Corporation",,,
"11","Jun  8, 2020 09:49:39.890854000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"38931","1900","409","Zyxel Communications Corporation",,,
"12","Jun  8, 2020 09:49:39.993241000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"38931","1900","409","Zyxel Communications Corporation",,,
"13","Jun  8, 2020 09:49:40.328191000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"63946","53","52","Zyxel Communications Corporation",,,
"14","Jun  8, 2020 09:49:40.332803000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","63946","52","Tp-Link Technologies Co.,Ltd.",,,
"15","Jun  8, 2020 09:49:42.551031000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"16","Jun  8, 2020 09:49:42.653284000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"17","Jun  8, 2020 09:49:42.755702000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"18","Jun  8, 2020 09:49:43.064747000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33876","1900","335","Zyxel Communications Corporation",,,
"19","Jun  8, 2020 09:49:43.269351000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33876","1900","335","Zyxel Communications Corporation",,,
"20","Jun  8, 2020 09:49:43.371897000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33876","1900","344","Zyxel Communications Corporation",,,
"21","Jun  8, 2020 09:49:43.477709000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33876","1900","344","Zyxel Communications Corporation",,,
"22","Jun  8, 2020 09:49:43.577077000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33876","1900","399","Zyxel Communications Corporation",,,
"23","Jun  8, 2020 09:49:43.679406000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33876","1900","399","Zyxel Communications Corporation",,,
"24","Jun  8, 2020 09:49:43.884495000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"56511","1900","409","Zyxel Communications Corporation",,,
