frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:14:40.771553000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","ff:ff:ff:ff:ff:ff","192.168.1.182","192.168.1.255","17","53706f74556470302a1d571c7b9c6851000100044895c20370a97da6071a9412c11f2f74c560cc396b813989","44","57621","57621","52","Tp-Link Technologies Co.,Ltd.",,,
"2","Jun  8, 2020 09:14:40.771710000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","ff:ff:ff:ff:ff:ff","192.168.1.182","192.168.1.255","17","53706f74556470302a1d571c7b9c6851000100044895c20370a97da6071a9412c11f2f74c560cc396b813989","44","57621","57621","52","Tp-Link Technologies Co.,Ltd.",,,
"3","Jun  8, 2020 09:14:40.772297000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","33:33:00:00:00:02",,,,,,,,,"Xiaomi Communications Co Ltd",,,
"4","Jun  8, 2020 09:14:40.883984000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","ff:ff:ff:ff:ff:ff","192.168.1.45","255.255.255.255","17","d0f281f88bff9af7d5ef94b6d1b4c09fec95e68fe187e8caf08bf68bf6","29","47536","9999","37","Xiaomi Communications Co Ltd",,,
"5","Jun  8, 2020 09:14:40.887931000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","01:00:5e:00:00:fb","192.168.1.45","224.0.0.251","17",,,"42400","5353","12","Xiaomi Communications Co Ltd",,,
"6","Jun  8, 2020 09:14:41.808964000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"60268","53","52","Zyxel Communications Corporation",,,
"7","Jun  8, 2020 09:14:41.809173000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"60268","53","52","Zyxel Communications Corporation",,,
"8","Jun  8, 2020 09:14:41.809298000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"60268","53","51","Zyxel Communications Corporation",,,
"9","Jun  8, 2020 09:14:41.809410000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"60268","53","54","Zyxel Communications Corporation",,,
"10","Jun  8, 2020 09:14:41.809540000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"60268","53","50","Zyxel Communications Corporation",,,
"11","Jun  8, 2020 09:14:41.812919000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","60268","52","Tp-Link Technologies Co.,Ltd.",,,
"12","Jun  8, 2020 09:14:41.824386000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","60268","52","Tp-Link Technologies Co.,Ltd.",,,
"13","Jun  8, 2020 09:14:41.825975000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","60268","85","Tp-Link Technologies Co.,Ltd.",,,
"14","Jun  8, 2020 09:14:41.834443000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","60268","54","Tp-Link Technologies Co.,Ltd.",,,
"15","Jun  8, 2020 09:14:41.834469000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","60268","50","Tp-Link Technologies Co.,Ltd.",,,
"16","Jun  8, 2020 09:14:42.107121000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"34927","1900","335","Zyxel Communications Corporation",,,
"17","Jun  8, 2020 09:14:42.116020000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.127","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","50905","0"
"18","Jun  8, 2020 09:14:42.116113000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.127","6",,,,,,"Zyxel Communications Corporation","50905","80","0"
"19","Jun  8, 2020 09:14:42.209555000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"34927","1900","335","Zyxel Communications Corporation",,,
"20","Jun  8, 2020 09:14:42.312024000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"34927","1900","344","Zyxel Communications Corporation",,,
"21","Jun  8, 2020 09:14:42.418463000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"34927","1900","344","Zyxel Communications Corporation",,,
"22","Jun  8, 2020 09:14:42.619668000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"34927","1900","399","Zyxel Communications Corporation",,,
"23","Jun  8, 2020 09:14:42.722034000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"34927","1900","399","Zyxel Communications Corporation",,,
"24","Jun  8, 2020 09:14:42.733603000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","01:00:5e:00:00:fb","192.168.1.45","224.0.0.251","17",,,"5353","5353","254","Xiaomi Communications Co Ltd",,,
"25","Jun  8, 2020 09:14:42.736604000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","33:33:00:00:00:fb",,,,,,"5353","5353","254","Xiaomi Communications Co Ltd",,,
"26","Jun  8, 2020 09:14:42.809320000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"60268","53","50","Zyxel Communications Corporation",,,
"27","Jun  8, 2020 09:14:42.809570000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"60268","53","54","Zyxel Communications Corporation",,,
"28","Jun  8, 2020 09:14:42.809742000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"60268","53","52","Zyxel Communications Corporation",,,
"29","Jun  8, 2020 09:14:42.812920000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","60268","68","Tp-Link Technologies Co.,Ltd.",,,
"30","Jun  8, 2020 09:14:42.824515000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"42108","1900","409","Zyxel Communications Corporation",,,
"31","Jun  8, 2020 09:14:42.833307000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","60268","106","Tp-Link Technologies Co.,Ltd.",,,
"32","Jun  8, 2020 09:14:42.833323000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","60268","111","Tp-Link Technologies Co.,Ltd.",,,
"33","Jun  8, 2020 09:14:42.926940000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"42108","1900","409","Zyxel Communications Corporation",,,
"34","Jun  8, 2020 09:14:44.049298000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","ff:ff:ff:ff:ff:ff","192.168.1.45","255.255.255.255","17","d0f281f88bff9af7d5ef94b6d1b4c09fec95e68fe187e8caf08bf68bf6","29","37170","9999","37","Xiaomi Communications Co Ltd",,,
"35","Jun  8, 2020 09:14:45.005563000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.131","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","50912","279"
"36","Jun  8, 2020 09:14:45.005620000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.131","6",,,,,,"Zyxel Communications Corporation","50912","80","0"
"37","Jun  8, 2020 09:14:45.008596000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.131","6",,,,,,"Zyxel Communications Corporation","50912","80","95"
"38","Jun  8, 2020 09:14:45.055601000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.131","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","50912","0"
"39","Jun  8, 2020 09:14:45.076542000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"57054","1900","335","Zyxel Communications Corporation",,,
"40","Jun  8, 2020 09:14:45.179137000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"57054","1900","335","Zyxel Communications Corporation",,,
"41","Jun  8, 2020 09:14:45.383879000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"57054","1900","344","Zyxel Communications Corporation",,,
"42","Jun  8, 2020 09:14:45.486300000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"57054","1900","344","Zyxel Communications Corporation",,,
"43","Jun  8, 2020 09:14:45.589075000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"57054","1900","399","Zyxel Communications Corporation",,,
"44","Jun  8, 2020 09:14:45.691556000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"57054","1900","399","Zyxel Communications Corporation",,,
