frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:28:25.104616000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"37450","1900","335","Zyxel Communications Corporation",,,
"2","Jun  8, 2020 09:28:25.206939000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"37450","1900","335","Zyxel Communications Corporation",,,
"3","Jun  8, 2020 09:28:25.309325000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"37450","1900","344","Zyxel Communications Corporation",,,
"4","Jun  8, 2020 09:28:25.326789000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"57458","53","50","Zyxel Communications Corporation",,,
"5","Jun  8, 2020 09:28:25.326900000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"57458","53","54","Zyxel Communications Corporation",,,
"6","Jun  8, 2020 09:28:25.331886000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","57458","68","Tp-Link Technologies Co.,Ltd.",,,
"7","Jun  8, 2020 09:28:25.331892000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","57458","54","Tp-Link Technologies Co.,Ltd.",,,
"8","Jun  8, 2020 09:28:25.514285000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"37450","1900","344","Zyxel Communications Corporation",,,
"9","Jun  8, 2020 09:28:25.616974000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"37450","1900","399","Zyxel Communications Corporation",,,
"10","Jun  8, 2020 09:28:25.719500000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"37450","1900","399","Zyxel Communications Corporation",,,
"11","Jun  8, 2020 09:28:25.821801000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"54906","1900","409","Zyxel Communications Corporation",,,
"12","Jun  8, 2020 09:28:25.924261000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"54906","1900","409","Zyxel Communications Corporation",,,
"13","Jun  8, 2020 09:28:26.318135000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"57458","53","52","Zyxel Communications Corporation",,,
"14","Jun  8, 2020 09:28:26.323140000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","57458","52","Tp-Link Technologies Co.,Ltd.",,,
"15","Jun  8, 2020 09:28:28.377875000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","ff:ff:ff:ff:ff:ff",,,,,,,,,"Zyxel Communications Corporation",,,
"16","Jun  8, 2020 09:28:29.250220000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.127","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","50977","0"
"17","Jun  8, 2020 09:28:29.250307000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.127","6",,,,,,"Zyxel Communications Corporation","50977","80","0"
"18","Jun  8, 2020 09:28:29.419936000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","5.45.62.118","6",,,,,,"Zyxel Communications Corporation","50998","80","0"
"19","Jun  8, 2020 09:28:29.467910000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","5.45.62.118","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","50998","0"
