frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:50:57.301764000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","ff:ff:ff:ff:ff:ff",,,,,,,,,"Zyxel Communications Corporation",,,
"2","Jun  8, 2020 09:50:58.328310000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"57452","53","50","Zyxel Communications Corporation",,,
"3","Jun  8, 2020 09:50:58.333538000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","57452","68","Tp-Link Technologies Co.,Ltd.",,,
"4","Jun  8, 2020 09:50:58.736546000 Mitteleuropäische Sommerzeit","f4:0f:24:27:af:24","33:33:00:00:00:16",,,,,,,,,"Apple, Inc.",,,
"5","Jun  8, 2020 09:50:58.741008000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","33:33:00:00:00:16",,,,,,,,,"Apple, Inc.",,,
"6","Jun  8, 2020 09:50:59.328742000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"57452","53","52","Zyxel Communications Corporation",,,
"7","Jun  8, 2020 09:50:59.328936000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"57452","53","51","Zyxel Communications Corporation",,,
"8","Jun  8, 2020 09:50:59.332272000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","57452","52","Tp-Link Technologies Co.,Ltd.",,,
"9","Jun  8, 2020 09:50:59.333803000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","57452","80","Tp-Link Technologies Co.,Ltd.",,,
"10","Jun  8, 2020 09:51:00.429140000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"38930","137","58","Tp-Link Technologies Co.,Ltd.",,,
"11","Jun  8, 2020 09:51:02.423083000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:00:00:fb","192.168.1.57","224.0.0.251","17",,,"5353","5353","69","Apple, Inc.",,,
"12","Jun  8, 2020 09:51:02.525837000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"13","Jun  8, 2020 09:51:02.628193000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"14","Jun  8, 2020 09:51:02.730573000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"15","Jun  8, 2020 09:51:03.142032000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"57264","1900","335","Zyxel Communications Corporation",,,
"16","Jun  8, 2020 09:51:03.244591000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"57264","1900","335","Zyxel Communications Corporation",,,
"17","Jun  8, 2020 09:51:03.336613000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d",,,,,,,,,"Tp-Link Technologies Co.,Ltd.",,,
"18","Jun  8, 2020 09:51:03.336678000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70",,,,,,,,,"Zyxel Communications Corporation",,,
