frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:15:15.870115000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"33229","137","58","Tp-Link Technologies Co.,Ltd.",,,
"2","Jun  8, 2020 09:15:16.612655000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","ff:ff:ff:ff:ff:ff","192.168.1.45","255.255.255.255","17","d0f281f88bff9af7d5ef94b6d1b4c09fec95e68fe187e8caf08bf68bf6","29","47618","9999","37","Xiaomi Communications Co Ltd",,,
"3","Jun  8, 2020 09:15:16.809118000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"51822","53","50","Zyxel Communications Corporation",,,
"4","Jun  8, 2020 09:15:16.809340000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"51822","53","52","Zyxel Communications Corporation",,,
"5","Jun  8, 2020 09:15:16.809480000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"51822","53","51","Zyxel Communications Corporation",,,
"6","Jun  8, 2020 09:15:16.809667000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"51822","53","54","Zyxel Communications Corporation",,,
"7","Jun  8, 2020 09:15:16.812916000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","51822","68","Tp-Link Technologies Co.,Ltd.",,,
"8","Jun  8, 2020 09:15:16.812926000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","51822","52","Tp-Link Technologies Co.,Ltd.",,,
"9","Jun  8, 2020 09:15:16.817337000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","01:00:5e:00:00:fb","192.168.1.45","224.0.0.251","17",,,"37888","5353","12","Xiaomi Communications Co Ltd",,,
"10","Jun  8, 2020 09:15:16.821478000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","51822","85","Tp-Link Technologies Co.,Ltd.",,,
