frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:00:39.011708000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","35.186.224.25","6",,,,,,"Zyxel Communications Corporation","50592","443","88"
"2","Jun  8, 2020 09:00:39.011796000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","35.186.224.25","6",,,,,,"Zyxel Communications Corporation","50592","443","39"
"3","Jun  8, 2020 09:00:39.011884000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","35.186.224.25","6",,,,,,"Zyxel Communications Corporation","50592","443","298"
"4","Jun  8, 2020 09:00:39.020946000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","35.186.224.25","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","50592","0"
"5","Jun  8, 2020 09:00:39.020963000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","35.186.224.25","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","50592","0"
"6","Jun  8, 2020 09:00:39.021053000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","35.186.224.25","6",,,,,,"Zyxel Communications Corporation","50592","443","88"
"7","Jun  8, 2020 09:00:39.021100000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","35.186.224.25","6",,,,,,"Zyxel Communications Corporation","50592","443","298"
"8","Jun  8, 2020 09:00:39.029750000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","35.186.224.25","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","50592","0"
"9","Jun  8, 2020 09:00:39.029761000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","35.186.224.25","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","50592","0"
"10","Jun  8, 2020 09:00:39.029773000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","35.186.224.25","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","50592","39"
"11","Jun  8, 2020 09:00:39.029818000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","35.186.224.25","6",,,,,,"Zyxel Communications Corporation","50592","443","0"
"12","Jun  8, 2020 09:00:39.040489000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","35.186.224.25","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","50592","84"
"13","Jun  8, 2020 09:00:39.040529000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","35.186.224.25","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","50592","295"
"14","Jun  8, 2020 09:00:39.040549000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","35.186.224.25","6",,,,,,"Zyxel Communications Corporation","50592","443","0"
"15","Jun  8, 2020 09:00:39.040562000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","35.186.224.25","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","50592","194"
"16","Jun  8, 2020 09:00:39.040565000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","35.186.224.25","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","50592","39"
"17","Jun  8, 2020 09:00:39.040692000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","35.186.224.25","6",,,,,,"Zyxel Communications Corporation","50592","443","0"
"18","Jun  8, 2020 09:00:39.040755000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","35.186.224.25","6",,,,,,"Zyxel Communications Corporation","50592","443","0"
"19","Jun  8, 2020 09:00:39.040857000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","35.186.224.25","6",,,,,,"Zyxel Communications Corporation","50592","443","0"
"20","Jun  8, 2020 09:00:39.042358000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","35.186.224.25","6",,,,,,"Zyxel Communications Corporation","50592","443","39"
"21","Jun  8, 2020 09:00:39.056006000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","35.186.224.25","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","50592","0"
"22","Jun  8, 2020 09:00:39.654859000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:71","01:80:c2:00:00:0e",,,,,,,,,"Zyxel Communications Corporation",,,
"23","Jun  8, 2020 09:00:39.659892000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:80:c2:00:00:13",,,,,,,,,"Zyxel Communications Corporation",,,
"24","Jun  8, 2020 09:00:39.802713000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"58920","53","52","Zyxel Communications Corporation",,,
"25","Jun  8, 2020 09:00:39.802920000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"58920","53","52","Zyxel Communications Corporation",,,
"26","Jun  8, 2020 09:00:39.806981000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","58920","52","Tp-Link Technologies Co.,Ltd.",,,
"27","Jun  8, 2020 09:00:39.813681000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","58920","104","Tp-Link Technologies Co.,Ltd.",,,
