frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 10:03:39.778303000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"38680","1900","399","Zyxel Communications Corporation",,,
"2","Jun  8, 2020 10:03:39.880758000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"44251","1900","409","Zyxel Communications Corporation",,,
"3","Jun  8, 2020 10:03:39.983161000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"44251","1900","409","Zyxel Communications Corporation",,,
"4","Jun  8, 2020 10:03:40.840675000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"62927","53","50","Zyxel Communications Corporation",,,
"5","Jun  8, 2020 10:03:40.840948000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"62927","53","54","Zyxel Communications Corporation",,,
"6","Jun  8, 2020 10:03:40.848489000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","62927","68","Tp-Link Technologies Co.,Ltd.",,,
"7","Jun  8, 2020 10:03:40.848511000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","62927","54","Tp-Link Technologies Co.,Ltd.",,,
"8","Jun  8, 2020 10:03:41.840579000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"62927","53","52","Zyxel Communications Corporation",,,
"9","Jun  8, 2020 10:03:41.844986000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","62927","82","Tp-Link Technologies Co.,Ltd.",,,
"10","Jun  8, 2020 10:03:42.133008000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"37636","1900","335","Zyxel Communications Corporation",,,
"11","Jun  8, 2020 10:03:42.235479000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"37636","1900","335","Zyxel Communications Corporation",,,
"12","Jun  8, 2020 10:03:42.337873000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"37636","1900","344","Zyxel Communications Corporation",,,
"13","Jun  8, 2020 10:03:42.542858000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"37636","1900","344","Zyxel Communications Corporation",,,
"14","Jun  8, 2020 10:03:42.748022000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"37636","1900","399","Zyxel Communications Corporation",,,
"15","Jun  8, 2020 10:03:42.850441000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"60863","1900","409","Zyxel Communications Corporation",,,
"16","Jun  8, 2020 10:03:43.055300000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"60863","1900","409","Zyxel Communications Corporation",,,
"17","Jun  8, 2020 10:03:45.847739000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d",,,,,,,,,"Tp-Link Technologies Co.,Ltd.",,,
"18","Jun  8, 2020 10:03:45.847759000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70",,,,,,,,,"Zyxel Communications Corporation",,,
"19","Jun  8, 2020 10:03:49.297692000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","ff:ff:ff:ff:ff:ff",,,,,,,,,"Zyxel Communications Corporation",,,
