frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 10:04:09.162713000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","01:00:5e:00:00:fb","192.168.1.182","224.0.0.251","17",,,"5353","5353","316","Tp-Link Technologies Co.,Ltd.",,,
"2","Jun  8, 2020 10:04:09.162956000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","33:33:00:00:00:fb",,,,,,"5353","5353","316","Tp-Link Technologies Co.,Ltd.",,,
"3","Jun  8, 2020 10:04:09.269126000 Mitteleuropäische Sommerzeit","f4:0f:24:27:af:24","01:00:5e:00:00:fb","192.168.1.213","224.0.0.251","17",,,"5353","5353","316","Apple, Inc.",,,
"4","Jun  8, 2020 10:04:09.281516000 Mitteleuropäische Sommerzeit","f4:0f:24:27:af:24","33:33:00:00:00:fb",,,,,,"5353","5353","316","Apple, Inc.",,,
"5","Jun  8, 2020 10:04:09.841452000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"65499","53","52","Zyxel Communications Corporation",,,
"6","Jun  8, 2020 10:04:09.841581000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"65499","53","50","Zyxel Communications Corporation",,,
"7","Jun  8, 2020 10:04:09.841650000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"65499","53","52","Zyxel Communications Corporation",,,
"8","Jun  8, 2020 10:04:09.848198000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","65499","82","Tp-Link Technologies Co.,Ltd.",,,
"9","Jun  8, 2020 10:04:09.848203000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","65499","50","Tp-Link Technologies Co.,Ltd.",,,
"10","Jun  8, 2020 10:04:09.848207000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","65499","52","Tp-Link Technologies Co.,Ltd.",,,
