frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:47:16.123305000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"53486","1900","335","Zyxel Communications Corporation",,,
"2","Jun  8, 2020 09:47:16.222177000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"53486","1900","335","Zyxel Communications Corporation",,,
"3","Jun  8, 2020 09:47:16.324656000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"53486","1900","344","Zyxel Communications Corporation",,,
"4","Jun  8, 2020 09:47:16.327070000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"50680","53","50","Zyxel Communications Corporation",,,
"5","Jun  8, 2020 09:47:16.327289000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"50680","53","54","Zyxel Communications Corporation",,,
"6","Jun  8, 2020 09:47:16.335391000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","50680","68","Tp-Link Technologies Co.,Ltd.",,,
"7","Jun  8, 2020 09:47:16.335402000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","50680","54","Tp-Link Technologies Co.,Ltd.",,,
"8","Jun  8, 2020 09:47:16.427012000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"53486","1900","344","Zyxel Communications Corporation",,,
"9","Jun  8, 2020 09:47:16.504228000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.87","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","50976","0"
"10","Jun  8, 2020 09:47:16.504300000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.87","6",,,,,,"Zyxel Communications Corporation","50976","80","0"
