frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:47:51.414512000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.87","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","50976","279"
"2","Jun  8, 2020 09:47:51.414594000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.87","6",,,,,,"Zyxel Communications Corporation","50976","80","0"
"3","Jun  8, 2020 09:47:51.414763000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.87","6",,,,,,"Zyxel Communications Corporation","50976","80","95"
"4","Jun  8, 2020 09:47:51.462087000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.87","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","50976","0"
"5","Jun  8, 2020 09:47:52.327355000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"55693","53","51","Zyxel Communications Corporation",,,
"6","Jun  8, 2020 09:47:52.327572000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"55693","53","52","Zyxel Communications Corporation",,,
"7","Jun  8, 2020 09:47:52.331128000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","55693","105","Tp-Link Technologies Co.,Ltd.",,,
"8","Jun  8, 2020 09:47:52.331136000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","55693","52","Tp-Link Technologies Co.,Ltd.",,,
"9","Jun  8, 2020 09:47:52.470351000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"10","Jun  8, 2020 09:47:52.572854000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"11","Jun  8, 2020 09:47:52.675184000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"12","Jun  8, 2020 09:47:53.327463000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"55693","53","50","Zyxel Communications Corporation",,,
"13","Jun  8, 2020 09:47:53.327814000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"55693","53","51","Zyxel Communications Corporation",,,
"14","Jun  8, 2020 09:47:53.327977000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"55693","53","54","Zyxel Communications Corporation",,,
"15","Jun  8, 2020 09:47:53.335438000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","55693","68","Tp-Link Technologies Co.,Ltd.",,,
"16","Jun  8, 2020 09:47:53.335448000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","55693","84","Tp-Link Technologies Co.,Ltd.",,,
"17","Jun  8, 2020 09:47:53.336638000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","55693","54","Tp-Link Technologies Co.,Ltd.",,,
"18","Jun  8, 2020 09:47:54.110412000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"60063","1900","335","Zyxel Communications Corporation",,,
"19","Jun  8, 2020 09:47:54.212645000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"60063","1900","335","Zyxel Communications Corporation",,,
"20","Jun  8, 2020 09:47:54.315279000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"60063","1900","344","Zyxel Communications Corporation",,,
"21","Jun  8, 2020 09:47:54.520094000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"60063","1900","344","Zyxel Communications Corporation",,,
"22","Jun  8, 2020 09:47:54.622780000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"60063","1900","399","Zyxel Communications Corporation",,,
"23","Jun  8, 2020 09:47:54.725198000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"60063","1900","399","Zyxel Communications Corporation",,,
"24","Jun  8, 2020 09:47:54.827629000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33391","1900","409","Zyxel Communications Corporation",,,
"25","Jun  8, 2020 09:47:54.930026000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33391","1900","409","Zyxel Communications Corporation",,,
"26","Jun  8, 2020 09:47:55.028565000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","ff:ff:ff:ff:ff:ff",,,,,,,,,"Zyxel Communications Corporation",,,
"27","Jun  8, 2020 09:47:55.587985000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.127","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","51031","0"
"28","Jun  8, 2020 09:47:55.588070000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.127","6",,,,,,"Zyxel Communications Corporation","51031","80","0"
"29","Jun  8, 2020 09:47:56.327007000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"63333","53","52","Zyxel Communications Corporation",,,
"30","Jun  8, 2020 09:47:56.331046000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","63333","106","Tp-Link Technologies Co.,Ltd.",,,
