frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:20:40.095747000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","ff:ff:ff:ff:ff:ff",,,,,,,,,"Xiaomi Communications Co Ltd",,,
"2","Jun  8, 2020 09:20:40.102254000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","01:00:5e:00:00:fb","192.168.1.45","224.0.0.251","17",,,"5353","5353","254","Xiaomi Communications Co Ltd",,,
"3","Jun  8, 2020 09:20:40.111045000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","33:33:00:00:00:fb",,,,,,"5353","5353","254","Xiaomi Communications Co Ltd",,,
"4","Jun  8, 2020 09:20:40.810815000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"55421","53","51","Zyxel Communications Corporation",,,
"5","Jun  8, 2020 09:20:40.811054000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"55421","53","50","Zyxel Communications Corporation",,,
"6","Jun  8, 2020 09:20:40.815886000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","55421","85","Tp-Link Technologies Co.,Ltd.",,,
"7","Jun  8, 2020 09:20:40.815892000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","55421","50","Tp-Link Technologies Co.,Ltd.",,,
"8","Jun  8, 2020 09:20:41.733904000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","ff:ff:ff:ff:ff:ff",,,,,,,,,"Zyxel Communications Corporation",,,
"9","Jun  8, 2020 09:20:41.810831000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"55421","53","52","Zyxel Communications Corporation",,,
"10","Jun  8, 2020 09:20:41.811023000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"55421","53","50","Zyxel Communications Corporation",,,
"11","Jun  8, 2020 09:20:41.811109000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"55421","53","51","Zyxel Communications Corporation",,,
"12","Jun  8, 2020 09:20:41.814410000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","55421","52","Tp-Link Technologies Co.,Ltd.",,,
"13","Jun  8, 2020 09:20:41.814428000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","55421","68","Tp-Link Technologies Co.,Ltd.",,,
"14","Jun  8, 2020 09:20:41.815527000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","55421","75","Tp-Link Technologies Co.,Ltd.",,,
"15","Jun  8, 2020 09:20:42.128930000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.87","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","50909","0"
"16","Jun  8, 2020 09:20:42.128993000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.87","6",,,,,,"Zyxel Communications Corporation","50909","80","0"
"17","Jun  8, 2020 09:20:42.147189000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"42280","1900","335","Zyxel Communications Corporation",,,
"18","Jun  8, 2020 09:20:42.249475000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"42280","1900","335","Zyxel Communications Corporation",,,
"19","Jun  8, 2020 09:20:42.352004000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"42280","1900","344","Zyxel Communications Corporation",,,
"20","Jun  8, 2020 09:20:42.454219000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"42280","1900","344","Zyxel Communications Corporation",,,
"21","Jun  8, 2020 09:20:42.557034000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"42280","1900","399","Zyxel Communications Corporation",,,
"22","Jun  8, 2020 09:20:42.659462000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"42280","1900","399","Zyxel Communications Corporation",,,
"23","Jun  8, 2020 09:20:42.810594000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"55421","53","51","Zyxel Communications Corporation",,,
"24","Jun  8, 2020 09:20:42.810792000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"55421","53","54","Zyxel Communications Corporation",,,
"25","Jun  8, 2020 09:20:42.814119000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","55421","105","Tp-Link Technologies Co.,Ltd.",,,
"26","Jun  8, 2020 09:20:42.814126000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","55421","54","Tp-Link Technologies Co.,Ltd.",,,
