frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:41:37.047757000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.87","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","50976","0"
"2","Jun  8, 2020 09:41:37.047843000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.87","6",,,,,,"Zyxel Communications Corporation","50976","80","0"
"3","Jun  8, 2020 09:41:37.325080000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"58524","53","51","Zyxel Communications Corporation",,,
"4","Jun  8, 2020 09:41:37.325334000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"58524","53","52","Zyxel Communications Corporation",,,
"5","Jun  8, 2020 09:41:37.334716000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","58524","105","Tp-Link Technologies Co.,Ltd.",,,
"6","Jun  8, 2020 09:41:37.345330000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","58524","52","Tp-Link Technologies Co.,Ltd.",,,
"7","Jun  8, 2020 09:41:37.374989000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","ff:ff:ff:ff:ff:ff",,,,,,,,,"Zyxel Communications Corporation",,,
"8","Jun  8, 2020 09:41:38.324003000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"58524","53","50","Zyxel Communications Corporation",,,
"9","Jun  8, 2020 09:41:38.327922000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","58524","68","Tp-Link Technologies Co.,Ltd.",,,
"10","Jun  8, 2020 09:41:39.630578000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","01:00:5e:00:00:fb","192.168.1.45","224.0.0.251","17",,,"5353","5353","254","Xiaomi Communications Co Ltd",,,
"11","Jun  8, 2020 09:41:39.639366000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","33:33:00:00:00:fb",,,,,,"5353","5353","254","Xiaomi Communications Co Ltd",,,
"12","Jun  8, 2020 09:41:40.324414000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"49716","53","50","Zyxel Communications Corporation",,,
"13","Jun  8, 2020 09:41:40.327954000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","49716","50","Tp-Link Technologies Co.,Ltd.",,,
"14","Jun  8, 2020 09:41:42.088836000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"48790","1900","335","Zyxel Communications Corporation",,,
"15","Jun  8, 2020 09:41:42.293676000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"48790","1900","335","Zyxel Communications Corporation",,,
"16","Jun  8, 2020 09:41:42.304035000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"17","Jun  8, 2020 09:41:42.324839000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"58080","53","54","Zyxel Communications Corporation",,,
"18","Jun  8, 2020 09:41:42.331045000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","58080","54","Tp-Link Technologies Co.,Ltd.",,,
"19","Jun  8, 2020 09:41:42.394376000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"20","Jun  8, 2020 09:41:42.403799000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"48790","1900","344","Zyxel Communications Corporation",,,
"21","Jun  8, 2020 09:41:42.496827000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"22","Jun  8, 2020 09:41:42.506213000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"48790","1900","344","Zyxel Communications Corporation",,,
"23","Jun  8, 2020 09:41:42.601355000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"48790","1900","399","Zyxel Communications Corporation",,,
"24","Jun  8, 2020 09:41:42.703752000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"48790","1900","399","Zyxel Communications Corporation",,,
"25","Jun  8, 2020 09:41:42.806199000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"60692","1900","409","Zyxel Communications Corporation",,,
"26","Jun  8, 2020 09:41:42.935163000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","01:00:5e:00:00:fb","192.168.1.182","224.0.0.251","17",,,"5353","5353","182","Tp-Link Technologies Co.,Ltd.",,,
"27","Jun  8, 2020 09:41:42.935231000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","33:33:00:00:00:fb",,,,,,"5353","5353","182","Tp-Link Technologies Co.,Ltd.",,,
