frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:46:02.389642000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"2","Jun  8, 2020 09:46:02.492138000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"3","Jun  8, 2020 09:46:02.594466000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"4","Jun  8, 2020 09:46:03.326416000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"49525","53","51","Zyxel Communications Corporation",,,
"5","Jun  8, 2020 09:46:03.326594000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"49525","53","54","Zyxel Communications Corporation",,,
"6","Jun  8, 2020 09:46:03.330230000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","49525","84","Tp-Link Technologies Co.,Ltd.",,,
"7","Jun  8, 2020 09:46:03.334608000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","49525","54","Tp-Link Technologies Co.,Ltd.",,,
"8","Jun  8, 2020 09:46:04.326350000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"49525","53","52","Zyxel Communications Corporation",,,
"9","Jun  8, 2020 09:46:04.326543000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"49525","53","50","Zyxel Communications Corporation",,,
"10","Jun  8, 2020 09:46:04.333285000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","49525","68","Tp-Link Technologies Co.,Ltd.",,,
"11","Jun  8, 2020 09:46:05.250922000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.127","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","51031","0"
"12","Jun  8, 2020 09:46:05.251012000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.127","6",,,,,,"Zyxel Communications Corporation","51031","80","0"
"13","Jun  8, 2020 09:46:06.326391000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"49525","53","52","Zyxel Communications Corporation",,,
"14","Jun  8, 2020 09:46:06.329793000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","49525","106","Tp-Link Technologies Co.,Ltd.",,,
"15","Jun  8, 2020 09:46:08.331284000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d",,,,,,,,,"Tp-Link Technologies Co.,Ltd.",,,
"16","Jun  8, 2020 09:46:08.331306000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70",,,,,,,,,"Zyxel Communications Corporation",,,
"17","Jun  8, 2020 09:46:09.149600000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33913","1900","335","Zyxel Communications Corporation",,,
"18","Jun  8, 2020 09:46:09.252015000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33913","1900","335","Zyxel Communications Corporation",,,
"19","Jun  8, 2020 09:46:09.354596000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33913","1900","344","Zyxel Communications Corporation",,,
"20","Jun  8, 2020 09:46:09.456842000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33913","1900","344","Zyxel Communications Corporation",,,
"21","Jun  8, 2020 09:46:09.559832000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"33913","1900","399","Zyxel Communications Corporation",,,
