frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:20:07.839625000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","ff:ff:ff:ff:ff:ff",,,,,,,,,"Xiaomi Communications Co Ltd",,,
"2","Jun  8, 2020 09:20:08.351561000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","ff:ff:ff:ff:ff:ff",,,,,,,,,"Xiaomi Communications Co Ltd",,,
"3","Jun  8, 2020 09:20:08.810823000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"53803","53","51","Zyxel Communications Corporation",,,
"4","Jun  8, 2020 09:20:08.816490000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","53803","85","Tp-Link Technologies Co.,Ltd.",,,
"5","Jun  8, 2020 09:20:08.863407000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","ff:ff:ff:ff:ff:ff",,,,,,,,,"Xiaomi Communications Co Ltd",,,
"6","Jun  8, 2020 09:20:09.375789000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","ff:ff:ff:ff:ff:ff",,,,,,,,,"Xiaomi Communications Co Ltd",,,
"7","Jun  8, 2020 09:20:09.809757000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"53803","53","52","Zyxel Communications Corporation",,,
"8","Jun  8, 2020 09:20:09.810089000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"53803","53","50","Zyxel Communications Corporation",,,
"9","Jun  8, 2020 09:20:09.810315000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"53803","53","51","Zyxel Communications Corporation",,,
"10","Jun  8, 2020 09:20:09.813913000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","53803","52","Tp-Link Technologies Co.,Ltd.",,,
"11","Jun  8, 2020 09:20:09.813929000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","53803","68","Tp-Link Technologies Co.,Ltd.",,,
"12","Jun  8, 2020 09:20:09.813937000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","53803","75","Tp-Link Technologies Co.,Ltd.",,,
"13","Jun  8, 2020 09:20:09.887532000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","ff:ff:ff:ff:ff:ff",,,,,,,,,"Xiaomi Communications Co Ltd",,,
"14","Jun  8, 2020 09:20:10.399547000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","ff:ff:ff:ff:ff:ff",,,,,,,,,"Xiaomi Communications Co Ltd",,,
