frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:43:31.737439000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.87","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","50976","0"
"2","Jun  8, 2020 09:43:31.737533000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.87","6",,,,,,"Zyxel Communications Corporation","50976","80","0"
"3","Jun  8, 2020 09:43:32.270174000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"4","Jun  8, 2020 09:43:32.325082000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"58495","53","51","Zyxel Communications Corporation",,,
"5","Jun  8, 2020 09:43:32.325287000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"58495","53","52","Zyxel Communications Corporation",,,
"6","Jun  8, 2020 09:43:32.328803000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","58495","105","Tp-Link Technologies Co.,Ltd.",,,
"7","Jun  8, 2020 09:43:32.328820000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","58495","52","Tp-Link Technologies Co.,Ltd.",,,
"8","Jun  8, 2020 09:43:32.475106000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"9","Jun  8, 2020 09:43:32.577333000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"10","Jun  8, 2020 09:43:33.325464000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"58495","53","51","Zyxel Communications Corporation",,,
"11","Jun  8, 2020 09:43:33.325664000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"58495","53","54","Zyxel Communications Corporation",,,
"12","Jun  8, 2020 09:43:33.325864000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"58495","53","50","Zyxel Communications Corporation",,,
"13","Jun  8, 2020 09:43:33.332084000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","58495","84","Tp-Link Technologies Co.,Ltd.",,,
"14","Jun  8, 2020 09:43:33.332092000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","58495","54","Tp-Link Technologies Co.,Ltd.",,,
"15","Jun  8, 2020 09:43:33.332100000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","58495","68","Tp-Link Technologies Co.,Ltd.",,,
"16","Jun  8, 2020 09:43:40.358195000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.127","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","51031","0"
"17","Jun  8, 2020 09:43:40.358254000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.127","6",,,,,,"Zyxel Communications Corporation","51031","80","0"
"18","Jun  8, 2020 09:43:40.460411000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","ff:ff:ff:ff:ff:ff",,,,,,,,,"Zyxel Communications Corporation",,,
"19","Jun  8, 2020 09:43:41.325514000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"63153","53","52","Zyxel Communications Corporation",,,
"20","Jun  8, 2020 09:43:41.329371000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","63153","106","Tp-Link Technologies Co.,Ltd.",,,
"21","Jun  8, 2020 09:43:42.102424000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"57238","1900","335","Zyxel Communications Corporation",,,
"22","Jun  8, 2020 09:43:42.204851000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"57238","1900","335","Zyxel Communications Corporation",,,
"23","Jun  8, 2020 09:43:42.305584000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"24","Jun  8, 2020 09:43:42.314930000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"57238","1900","344","Zyxel Communications Corporation",,,
"25","Jun  8, 2020 09:43:42.408026000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"26","Jun  8, 2020 09:43:42.512118000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"57238","1900","344","Zyxel Communications Corporation",,,
"27","Jun  8, 2020 09:43:42.522657000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:7f:ff:fa","192.168.1.57","239.255.255.250","17",,,"53964","1900","133","Apple, Inc.",,,
"28","Jun  8, 2020 09:43:42.717079000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"57238","1900","399","Zyxel Communications Corporation",,,
"29","Jun  8, 2020 09:43:42.819632000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"45587","1900","409","Zyxel Communications Corporation",,,
"30","Jun  8, 2020 09:43:42.922200000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"45587","1900","409","Zyxel Communications Corporation",,,
"31","Jun  8, 2020 09:43:45.060057000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.127","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","51031","279"
"32","Jun  8, 2020 09:43:45.060128000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.127","6",,,,,,"Zyxel Communications Corporation","51031","80","0"
"33","Jun  8, 2020 09:43:45.063184000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.127","6",,,,,,"Zyxel Communications Corporation","51031","80","95"
"34","Jun  8, 2020 09:43:45.111453000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.127","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","51031","0"
"35","Jun  8, 2020 09:43:45.887770000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:71","01:80:c2:00:00:0e",,,,,,,,,"Zyxel Communications Corporation",,,
"36","Jun  8, 2020 09:43:45.892626000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:80:c2:00:00:13",,,,,,,,,"Zyxel Communications Corporation",,,
"37","Jun  8, 2020 09:43:46.095891000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"36324","1900","335","Zyxel Communications Corporation",,,
"38","Jun  8, 2020 09:43:46.198417000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"36324","1900","335","Zyxel Communications Corporation",,,
"39","Jun  8, 2020 09:43:46.300939000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"36324","1900","344","Zyxel Communications Corporation",,,
"40","Jun  8, 2020 09:43:46.505769000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"36324","1900","344","Zyxel Communications Corporation",,,
"41","Jun  8, 2020 09:43:46.608345000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"36324","1900","399","Zyxel Communications Corporation",,,
