frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:46:23.381263000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","01:00:5e:00:00:fb","192.168.1.57","224.0.0.251","17",,,"5353","5353","69","Apple, Inc.",,,
"2","Jun  8, 2020 09:46:23.385930000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","33:33:00:00:00:16",,,,,,,,,"Xiaomi Communications Co Ltd",,,
"3","Jun  8, 2020 09:46:23.459669000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","01:00:5e:00:00:16","192.168.1.182","224.0.0.22","2",,,,,,"Tp-Link Technologies Co.,Ltd.",,,
"4","Jun  8, 2020 09:46:23.464496000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","33:33:00:00:00:16",,,,,,,,,"Tp-Link Technologies Co.,Ltd.",,,
"5","Jun  8, 2020 09:46:23.686973000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","ff:ff:ff:ff:ff:ff",,,,,,,,,"Zyxel Communications Corporation",,,
"6","Jun  8, 2020 09:46:24.326686000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"50910","53","51","Zyxel Communications Corporation",,,
"7","Jun  8, 2020 09:46:24.326869000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"50910","53","50","Zyxel Communications Corporation",,,
"8","Jun  8, 2020 09:46:24.326991000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"50910","53","52","Zyxel Communications Corporation",,,
"9","Jun  8, 2020 09:46:24.327119000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"50910","53","49","Zyxel Communications Corporation",,,
"10","Jun  8, 2020 09:46:24.327261000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"50910","53","50","Zyxel Communications Corporation",,,
