frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:52:27.110613000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"58305","1900","335","Zyxel Communications Corporation",,,
"2","Jun  8, 2020 09:52:27.193118000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.87","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","51050","279"
"3","Jun  8, 2020 09:52:27.193222000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.87","6",,,,,,"Zyxel Communications Corporation","51050","80","0"
"4","Jun  8, 2020 09:52:27.196787000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.87","6",,,,,,"Zyxel Communications Corporation","51050","80","95"
"5","Jun  8, 2020 09:52:27.212839000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"58305","1900","335","Zyxel Communications Corporation",,,
"6","Jun  8, 2020 09:52:27.251156000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.87","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","51050","0"
"7","Jun  8, 2020 09:52:27.315397000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"58305","1900","344","Zyxel Communications Corporation",,,
"8","Jun  8, 2020 09:52:27.330328000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"62221","53","50","Zyxel Communications Corporation",,,
"9","Jun  8, 2020 09:52:27.330478000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"62221","53","54","Zyxel Communications Corporation",,,
"10","Jun  8, 2020 09:52:27.333946000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","62221","68","Tp-Link Technologies Co.,Ltd.",,,
"11","Jun  8, 2020 09:52:27.335865000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","62221","54","Tp-Link Technologies Co.,Ltd.",,,
"12","Jun  8, 2020 09:52:27.520045000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"58305","1900","344","Zyxel Communications Corporation",,,
"13","Jun  8, 2020 09:52:27.623066000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"58305","1900","399","Zyxel Communications Corporation",,,
"14","Jun  8, 2020 09:52:27.725255000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"58305","1900","399","Zyxel Communications Corporation",,,
"15","Jun  8, 2020 09:52:27.827788000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"37504","1900","409","Zyxel Communications Corporation",,,
"16","Jun  8, 2020 09:52:28.032599000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"37504","1900","409","Zyxel Communications Corporation",,,
"17","Jun  8, 2020 09:52:28.328861000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"62221","53","51","Zyxel Communications Corporation",,,
"18","Jun  8, 2020 09:52:28.329086000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"62221","53","52","Zyxel Communications Corporation",,,
"19","Jun  8, 2020 09:52:28.335915000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","62221","105","Tp-Link Technologies Co.,Ltd.",,,
"20","Jun  8, 2020 09:52:28.335927000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","62221","52","Tp-Link Technologies Co.,Ltd.",,,
"21","Jun  8, 2020 09:52:28.438289000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","ff:ff:ff:ff:ff:ff",,,,,,,,,"Zyxel Communications Corporation",,,
"22","Jun  8, 2020 09:52:30.080193000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"43171","1900","335","Zyxel Communications Corporation",,,
"23","Jun  8, 2020 09:52:30.182449000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"43171","1900","335","Zyxel Communications Corporation",,,
