frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 17, 2020 10:28:32.656580000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","142.250.27.188","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","5228","38594","269"
"2","Jun 17, 2020 10:28:33.235659000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","0"
"3","Jun 17, 2020 10:28:33.251916000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","0"
"4","Jun 17, 2020 10:28:33.252892000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","156"
"5","Jun 17, 2020 10:28:33.273677000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","69"
"6","Jun 17, 2020 10:28:33.284960000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","38"
"7","Jun 17, 2020 10:28:33.293173000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","54.192.87.19","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","42994","0"
"8","Jun 17, 2020 10:28:33.299824000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","0"
"9","Jun 17, 2020 10:28:33.361193000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","1040"
"10","Jun 17, 2020 10:28:33.361248000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","1071"
"11","Jun 17, 2020 10:28:33.362480000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","81"
"12","Jun 17, 2020 10:28:33.362702000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","216"
"13","Jun 17, 2020 10:28:33.362739000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","46"
"14","Jun 17, 2020 10:28:33.380180000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","0"
"15","Jun 17, 2020 10:28:33.554589000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","0"
"16","Jun 17, 2020 10:28:33.554677000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","0"
"17","Jun 17, 2020 10:28:33.605184000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","286"
"18","Jun 17, 2020 10:28:33.605246000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","1418"
"19","Jun 17, 2020 10:28:33.605265000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","379"
"20","Jun 17, 2020 10:28:33.606556000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","171"
"21","Jun 17, 2020 10:28:33.607823000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","56"
"22","Jun 17, 2020 10:28:33.607879000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","46"
"23","Jun 17, 2020 10:28:33.619811000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.101","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","38402","0"
"24","Jun 17, 2020 10:28:34.482999000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","1c:3b:f3:4d:36:04","3.232.235.243","192.168.2.5","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","64021","0"
"25","Jun 17, 2020 10:28:34.483097000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","1c:3b:f3:4d:36:04","3.232.235.243","192.168.2.5","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","64021","0"
