frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 17, 2020 10:23:30.829901000 Mitteleuropäische Sommerzeit","66:7c:70:fd:39:d1","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17",,,"68","67","308",,,,
"2","Jun 17, 2020 10:23:31.813367000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"3","Jun 17, 2020 10:23:31.834428000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"4","Jun 17, 2020 10:23:31.834634000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","1448"
"5","Jun 17, 2020 10:23:31.834682000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","1448"
"6","Jun 17, 2020 10:23:31.834700000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","712"
"7","Jun 17, 2020 10:23:31.853514000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","287"
"8","Jun 17, 2020 10:23:31.853581000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","287"
"9","Jun 17, 2020 10:23:31.854522000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"10","Jun 17, 2020 10:23:31.855063000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"11","Jun 17, 2020 10:23:31.855926000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"12","Jun 17, 2020 10:23:31.856018000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"13","Jun 17, 2020 10:23:31.868460000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"14","Jun 17, 2020 10:23:31.870942000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"15","Jun 17, 2020 10:23:31.871191000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"16","Jun 17, 2020 10:23:31.874559000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"17","Jun 17, 2020 10:23:31.874647000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"18","Jun 17, 2020 10:23:31.874695000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"19","Jun 17, 2020 10:23:31.877507000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"20","Jun 17, 2020 10:23:31.877574000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"21","Jun 17, 2020 10:23:31.877624000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"22","Jun 17, 2020 10:23:31.883353000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"23","Jun 17, 2020 10:23:31.885027000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"24","Jun 17, 2020 10:23:31.888058000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"25","Jun 17, 2020 10:23:31.888389000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
"26","Jun 17, 2020 10:23:31.889696000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","87.248.118.22","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","37428","0"
