frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 17, 2020 10:21:46.322852000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","52.208.66.234","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","49852","718"
"2","Jun 17, 2020 10:21:46.372519000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","52.208.66.234","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","49854","0"
"3","Jun 17, 2020 10:21:46.376993000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","1c:3b:f3:4d:36:04","52.48.207.250","192.168.2.5","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","64016","229"
"4","Jun 17, 2020 10:21:46.411681000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","1c:3b:f3:4d:36:04","52.48.207.250","192.168.2.5","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","64016","0"
"5","Jun 17, 2020 10:21:46.446036000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","1c:3b:f3:4d:36:04","52.48.207.250","192.168.2.5","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","64016","0"
"6","Jun 17, 2020 10:21:46.447558000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","52.208.66.234","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","49854","862"
"7","Jun 17, 2020 10:21:46.691772000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","ff:ff:ff:ff:ff:ff","192.168.2.3","255.255.255.255","17","d0f281f88bff9af7d5ef94b6d1b4c09fec95e68fe187e8caf08bf68bf6","29","47284","9999","37","Xiaomi Communications Co Ltd",,,
"8","Jun 17, 2020 10:21:49.867332000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","ff:ff:ff:ff:ff:ff","192.168.2.3","255.255.255.255","17","d0f281f88bff9af7d5ef94b6d1b4c09fec95e68fe187e8caf08bf68bf6","29","38677","9999","37","Xiaomi Communications Co Ltd",,,
"9","Jun 17, 2020 10:21:50.366919000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","01:00:5e:00:00:fb","192.168.2.3","224.0.0.251","17",,,"44937","5353","12","Xiaomi Communications Co Ltd",,,
"10","Jun 17, 2020 10:21:52.394207000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","1c:3b:f3:4d:36:04",,,,,,,,,"Tp-Link Technologies Co.,Ltd.",,,
"11","Jun 17, 2020 10:21:52.394289000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","1c:3b:f3:4d:36:04","52.7.214.228","192.168.2.5","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","64019","0"
"12","Jun 17, 2020 10:21:52.394319000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","1c:3b:f3:4d:36:04",,,,,,,,,"Tp-Link Technologies Co.,Ltd.",,,
"13","Jun 17, 2020 10:21:52.394334000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","1c:3b:f3:4d:36:04","52.7.214.228","192.168.2.5","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","64019","0"
"14","Jun 17, 2020 10:21:52.400365000 Mitteleuropäische Sommerzeit","1c:3b:f3:4d:36:04","d0:37:45:53:9a:9d",,,,,,,,,"Tp-Link Technologies Co.,Ltd.",,,
"15","Jun 17, 2020 10:21:52.403302000 Mitteleuropäische Sommerzeit","1c:3b:f3:4d:36:04","d0:37:45:53:9a:9d",,,,,,,,,"Tp-Link Technologies Co.,Ltd.",,,
"16","Jun 17, 2020 10:21:52.992775000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","ff:ff:ff:ff:ff:ff","192.168.2.3","255.255.255.255","17","d0f281f88bff9af7d5ef94b6d1b4c09fec95e68fe187e8caf08bf68bf6","29","39700","9999","37","Xiaomi Communications Co Ltd",,,
"17","Jun 17, 2020 10:21:53.555027000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","52.208.66.234","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","49852","0"
"18","Jun 17, 2020 10:21:53.575706000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","52.208.66.234","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","49852","718"
"19","Jun 17, 2020 10:21:53.623895000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","52.208.66.234","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","49854","0"
