frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 17, 2020 10:16:50.507688000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","52.208.66.234","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","49776","216"
"2","Jun 17, 2020 10:16:51.158713000 Mitteleuropäische Sommerzeit","66:7c:70:fd:39:d1","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17",,,"68","67","308",,,,
"3","Jun 17, 2020 10:16:57.032212000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","23.20.252.213","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","39386","384"
"4","Jun 17, 2020 10:16:57.032289000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","23.20.252.213","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","39386","34"
"5","Jun 17, 2020 10:16:59.452968000 Mitteleuropäische Sommerzeit","66:7c:70:fd:39:d1","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17",,,"68","67","308",,,,
"6","Jun 17, 2020 10:17:07.747298000 Mitteleuropäische Sommerzeit","66:7c:70:fd:39:d1","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17",,,"68","67","308",,,,
"7","Jun 17, 2020 10:17:28.908274000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","33:33:00:00:00:16",,,,,,,,,"Xiaomi Communications Co Ltd",,,
"8","Jun 17, 2020 10:17:28.910204000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","33:33:ff:52:b4:4b",,,,,,,,,"Xiaomi Communications Co Ltd",,,
"9","Jun 17, 2020 10:17:28.933954000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17",,,"68","67","312","Xiaomi Communications Co Ltd",,,
"10","Jun 17, 2020 10:17:28.948847000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17",,,"68","67","324","Xiaomi Communications Co Ltd",,,
"11","Jun 17, 2020 10:17:28.995616000 Mitteleuropäische Sommerzeit","a8:9c:ed:52:b4:4b","33:33:00:00:00:16",,,,,,,,,"Xiaomi Communications Co Ltd",,,
"12","Jun 17, 2020 10:17:29.129974000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","172.217.17.99","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","80","47808","0"
"13","Jun 17, 2020 10:17:29.144058000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","172.217.17.99","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","80","47808","0"
"14","Jun 17, 2020 10:17:29.144348000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","172.217.17.99","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","80","47808","102"
"15","Jun 17, 2020 10:17:29.144371000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","172.217.17.99","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","80","47808","0"
"16","Jun 17, 2020 10:17:29.145628000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","142.250.27.188","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","5228","38566","0"
"17","Jun 17, 2020 10:17:29.147068000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","172.217.17.78","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","80","48192","0"
"18","Jun 17, 2020 10:17:29.154559000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","172.217.17.99","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","80","47808","0"
