frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 17, 2020 10:26:33.273078000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","23.23.134.108","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","47730","31"
"2","Jun 17, 2020 10:26:33.672445000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","23.23.134.108","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","47730","31"
"3","Jun 17, 2020 10:26:34.060208000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","23.23.134.108","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","47730","31"
"4","Jun 17, 2020 10:26:34.824505000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","23.23.134.108","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","47730","31"
"5","Jun 17, 2020 10:26:36.328481000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","23.23.134.108","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","47730","31"
"6","Jun 17, 2020 10:26:38.277974000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","23.23.134.108","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","47730","0"
"7","Jun 17, 2020 10:26:39.336591000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","23.23.134.108","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","47730","31"
"8","Jun 17, 2020 10:26:41.200598000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","172.217.17.130","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","48504","580"
"9","Jun 17, 2020 10:26:42.326488000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.110","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","41910","0"
"10","Jun 17, 2020 10:26:42.338794000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.110","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","41910","0"
"11","Jun 17, 2020 10:26:42.339861000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.110","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","41910","162"
"12","Jun 17, 2020 10:26:42.356423000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.110","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","41910","0"
"13","Jun 17, 2020 10:26:42.367854000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.110","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","41910","0"
"14","Jun 17, 2020 10:26:42.372973000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","157.240.201.61","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","5222","44350","0"
"15","Jun 17, 2020 10:26:42.374460000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.110","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","41910","613"
"16","Jun 17, 2020 10:26:42.383732000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","157.240.201.61","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","5222","44350","0"
"17","Jun 17, 2020 10:26:42.481719000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.110","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","41910","520"
"18","Jun 17, 2020 10:26:42.510144000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","157.240.201.61","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","5222","44350","41"
"19","Jun 17, 2020 10:26:42.525411000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.110","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","41910","0"
"20","Jun 17, 2020 10:26:42.529496000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","a8:9c:ed:52:b4:4b","216.58.211.110","192.168.2.3","6",,,,,,"Xiaomi Communications Co Ltd","443","41910","1058"
