frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 17, 2020 09:44:55.180009000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"2","Jun 17, 2020 09:44:55.180093000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"3","Jun 17, 2020 09:44:55.183736000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"4","Jun 17, 2020 09:44:55.192962000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"5","Jun 17, 2020 09:44:55.196380000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"6","Jun 17, 2020 09:44:55.196467000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"7","Jun 17, 2020 09:44:55.196986000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"8","Jun 17, 2020 09:44:55.201226000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"9","Jun 17, 2020 09:44:55.205311000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"10","Jun 17, 2020 09:44:55.231034000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"11","Jun 17, 2020 09:44:55.231083000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"12","Jun 17, 2020 09:44:55.282211000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"13","Jun 17, 2020 09:44:55.282259000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"14","Jun 17, 2020 09:44:55.286227000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"15","Jun 17, 2020 09:44:55.290443000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"16","Jun 17, 2020 09:44:55.290494000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"17","Jun 17, 2020 09:44:55.295544000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"18","Jun 17, 2020 09:44:55.299567000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"19","Jun 17, 2020 09:44:55.303668000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"20","Jun 17, 2020 09:44:55.307814000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"21","Jun 17, 2020 09:44:55.333363000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"22","Jun 17, 2020 09:44:55.333414000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"23","Jun 17, 2020 09:44:55.384567000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"24","Jun 17, 2020 09:44:55.384653000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"25","Jun 17, 2020 09:44:55.384701000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
