frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 17, 2020 09:48:13.416417000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"2","Jun 17, 2020 09:48:13.416501000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"3","Jun 17, 2020 09:48:13.419570000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"4","Jun 17, 2020 09:48:13.419620000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"5","Jun 17, 2020 09:48:13.434092000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"6","Jun 17, 2020 09:48:13.440869000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"7","Jun 17, 2020 09:48:13.444902000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"8","Jun 17, 2020 09:48:13.449001000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"9","Jun 17, 2020 09:48:13.453265000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"10","Jun 17, 2020 09:48:13.470569000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"11","Jun 17, 2020 09:48:13.470618000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"12","Jun 17, 2020 09:48:13.509677000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"13","Jun 17, 2020 09:48:13.509723000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"14","Jun 17, 2020 09:48:13.522070000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"15","Jun 17, 2020 09:48:13.522116000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"16","Jun 17, 2020 09:48:13.536469000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"17","Jun 17, 2020 09:48:13.539321000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"18","Jun 17, 2020 09:48:13.539374000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"19","Jun 17, 2020 09:48:13.543440000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"20","Jun 17, 2020 09:48:13.547469000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"21","Jun 17, 2020 09:48:13.551578000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"22","Jun 17, 2020 09:48:13.555729000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"23","Jun 17, 2020 09:48:13.572140000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"24","Jun 17, 2020 09:48:13.572191000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"25","Jun 17, 2020 09:48:13.573296000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"26","Jun 17, 2020 09:48:13.573348000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"27","Jun 17, 2020 09:48:13.624379000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"28","Jun 17, 2020 09:48:13.624431000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"29","Jun 17, 2020 09:48:13.638888000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"30","Jun 17, 2020 09:48:13.645946000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"31","Jun 17, 2020 09:48:13.649879000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"32","Jun 17, 2020 09:48:13.654050000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"33","Jun 17, 2020 09:48:13.658131000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"34","Jun 17, 2020 09:48:13.664410000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"35","Jun 17, 2020 09:48:13.664462000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"36","Jun 17, 2020 09:48:13.675628000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"37","Jun 17, 2020 09:48:13.675680000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
