frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 17, 2020 09:48:39.546442000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"2","Jun 17, 2020 09:48:39.553053000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"3","Jun 17, 2020 09:48:39.557097000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"4","Jun 17, 2020 09:48:39.561224000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"5","Jun 17, 2020 09:48:39.564153000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"6","Jun 17, 2020 09:48:39.564201000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"7","Jun 17, 2020 09:48:39.565298000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"8","Jun 17, 2020 09:48:39.572324000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"9","Jun 17, 2020 09:48:39.572407000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"10","Jun 17, 2020 09:48:39.623689000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"11","Jun 17, 2020 09:48:39.623773000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"12","Jun 17, 2020 09:48:39.648888000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"13","Jun 17, 2020 09:48:39.655652000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"14","Jun 17, 2020 09:48:39.657588000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"15","Jun 17, 2020 09:48:39.657634000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"16","Jun 17, 2020 09:48:39.659559000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"17","Jun 17, 2020 09:48:39.663648000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"18","Jun 17, 2020 09:48:39.667986000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"19","Jun 17, 2020 09:48:39.674021000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"20","Jun 17, 2020 09:48:39.674073000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"21","Jun 17, 2020 09:48:39.724292000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"22","Jun 17, 2020 09:48:39.724347000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"23","Jun 17, 2020 09:48:39.751517000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"24","Jun 17, 2020 09:48:39.751619000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"25","Jun 17, 2020 09:48:39.751670000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"26","Jun 17, 2020 09:48:39.752151000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"27","Jun 17, 2020 09:48:39.752204000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"28","Jun 17, 2020 09:48:39.752855000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"29","Jun 17, 2020 09:48:39.752940000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"30","Jun 17, 2020 09:48:39.752990000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"31","Jun 17, 2020 09:48:39.753040000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"32","Jun 17, 2020 09:48:39.753131000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"33","Jun 17, 2020 09:48:39.753180000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"34","Jun 17, 2020 09:48:39.753229000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"35","Jun 17, 2020 09:48:39.753309000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"36","Jun 17, 2020 09:48:39.758159000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"37","Jun 17, 2020 09:48:39.761934000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"38","Jun 17, 2020 09:48:39.766009000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"39","Jun 17, 2020 09:48:39.770163000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"40","Jun 17, 2020 09:48:39.775177000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"41","Jun 17, 2020 09:48:39.775225000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"42","Jun 17, 2020 09:48:39.814990000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"43","Jun 17, 2020 09:48:39.815040000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"44","Jun 17, 2020 09:48:39.826327000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"45","Jun 17, 2020 09:48:39.826376000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"46","Jun 17, 2020 09:48:39.853679000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"47","Jun 17, 2020 09:48:39.860300000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"48","Jun 17, 2020 09:48:39.864305000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"49","Jun 17, 2020 09:48:39.868402000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"50","Jun 17, 2020 09:48:39.872540000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"51","Jun 17, 2020 09:48:39.877478000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"52","Jun 17, 2020 09:48:39.877525000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"53","Jun 17, 2020 09:48:39.909141000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"54","Jun 17, 2020 09:48:39.909188000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"55","Jun 17, 2020 09:48:39.927750000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"56","Jun 17, 2020 09:48:39.927798000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"57","Jun 17, 2020 09:48:39.954643000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"58","Jun 17, 2020 09:48:39.954689000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"59","Jun 17, 2020 09:48:39.954787000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"60","Jun 17, 2020 09:48:39.955058000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"61","Jun 17, 2020 09:48:39.955105000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"62","Jun 17, 2020 09:48:39.956024000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"63","Jun 17, 2020 09:48:39.957844000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"64","Jun 17, 2020 09:48:39.957893000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"65","Jun 17, 2020 09:48:39.962687000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"66","Jun 17, 2020 09:48:39.962859000 Mitteleuropäische Sommerzeit",,,,,,"aaaa030000000800450001ae18830000ff11fe42c0a801d5e00000fb14e914e9019a9afb000000000014000100000001085f616972706f7274045f746370056c6f63616c00000c0001075f72646c696e6bc015000c0001065f757363616ec015000c0001075f757363616e73c015000c0001045f697070c015000c0001085f7363616e6e6572c015000c0001075f697070757362c015000c0001055f69707073c015000c0001085f7072696e746572c015000c00010f5f70646c2d6461746173747265616dc015000c0001045f707470c015000c00010f5f636f6d70616e696f6e2d6c696e6bc015000c00010d5f6170706c652d6d6f62646576c015000c0001083863373830373965045f7375620e5f6170706c652d6d6f6264657632c015000c00010f5f6170706c652d7061697261626c65c015000c0001085f686f6d656b6974c015000c00010b5f6166706f766572746370c015000c0001045f736d62c015000c0001045f726662c015000c0001065f616469736bc015000c0001c0b2000c00010000118d0016134d6163426f6f6b2050726f206465204672616ec0b200002905a000001194000c00040008002bf40f2427af24325bcc5f336e9760","446",,,,,,,
"67","Jun 17, 2020 09:48:39.962935000 Mitteleuropäische Sommerzeit",,,,,,"aaaa030000000800450001b4b1110000ff1165c6c0a801bde00000fb14e914e901a0acd7000000000014000100000001085f616972706f7274045f746370056c6f63616c00000c0001075f72646c696e6bc015000c0001065f757363616ec015000c0001075f757363616e73c015000c0001045f697070c015000c0001085f7363616e6e6572c015000c0001075f697070757362c015000c0001055f69707073c015000c0001085f7072696e746572c015000c00010f5f70646c2d6461746173747265616dc015000c0001045f707470c015000c00010f5f636f6d70616e696f6e2d6c696e6bc015000c00010d5f6170706c652d6d6f62646576c015000c0001083863373830373965045f7375620e5f6170706c652d6d6f6264657632c015000c00010f5f6170706c652d7061697261626c65c015000c0001085f686f6d656b6974c015000c00010b5f6166706f766572746370c015000c0001045f736d62c015000c0001045f726662c015000c0001065f616469736bc015000c0001c0b2000c00010000118d0016134d6163426f6f6b2050726f206465204672616ec0b200002905a00000119400120004000e002bf40f2427af244ce173422e00c08777d79bdf889b","452",,,,,,,
"68","Jun 17, 2020 09:48:39.963324000 Mitteleuropäische Sommerzeit",,,,,,"aaaa0300000086dd600a37f601a011fffe80000000000000182c63cb68616c23ff0200000000000000000000000000fb14e914e901a0013e000000000014000100000001085f616972706f7274045f746370056c6f63616c00000c0001075f72646c696e6bc015000c0001065f757363616ec015000c0001075f757363616e73c015000c0001045f697070c015000c0001085f7363616e6e6572c015000c0001075f697070757362c015000c0001055f69707073c015000c0001085f7072696e746572c015000c00010f5f70646c2d6461746173747265616dc015000c0001045f707470c015000c00010f5f636f6d70616e696f6e2d6c696e6bc015000c00010d5f6170706c652d6d6f62646576c015000c0001083863373830373965045f7375620e5f6170706c652d6d6f6264657632c015000c00010f5f6170706c652d7061697261626c65c015000c0001085f686f6d656b6974c015000c00010b5f6166706f766572746370c015000c0001045f736d62c015000c0001045f726662c015000c0001065f616469736bc015000c0001c0b2000c00010000118d0016134d6163426f6f6b2050726f206465204672616ec0b200002905a00000119400120004000e002bf40f2427af244ce173422e008610890c9e715181","472",,,,,,,
"69","Jun 17, 2020 09:48:39.963375000 Mitteleuropäische Sommerzeit",,,,,,"aaaa0300000086dd600a37f6019a11fffe80000000000000009f5523ce7d50c1ff0200000000000000000000000000fb14e914e9019acaf4000000000014000100000001085f616972706f7274045f746370056c6f63616c00000c0001075f72646c696e6bc015000c0001065f757363616ec015000c0001075f757363616e73c015000c0001045f697070c015000c0001085f7363616e6e6572c015000c0001075f697070757362c015000c0001055f69707073c015000c0001085f7072696e746572c015000c00010f5f70646c2d6461746173747265616dc015000c0001045f707470c015000c00010f5f636f6d70616e696f6e2d6c696e6bc015000c00010d5f6170706c652d6d6f62646576c015000c0001083863373830373965045f7375620e5f6170706c652d6d6f6264657632c015000c00010f5f6170706c652d7061697261626c65c015000c0001085f686f6d656b6974c015000c00010b5f6166706f766572746370c015000c0001045f736d62c015000c0001045f726662c015000c0001065f616469736bc015000c0001c0b2000c00010000118d0016134d6163426f6f6b2050726f206465204672616ec0b200002905a000001194000c00040008002bf40f2427af24bf893716371958a8","466",,,,,,,
"70","Jun 17, 2020 09:48:39.966715000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"71","Jun 17, 2020 09:48:39.970822000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"72","Jun 17, 2020 09:48:39.974946000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"73","Jun 17, 2020 09:48:39.978856000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"74","Jun 17, 2020 09:48:39.978907000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"75","Jun 17, 2020 09:48:40.002407000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"76","Jun 17, 2020 09:48:40.002454000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"77","Jun 17, 2020 09:48:40.029191000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"78","Jun 17, 2020 09:48:40.029240000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"79","Jun 17, 2020 09:48:40.058445000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"80","Jun 17, 2020 09:48:40.065094000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"81","Jun 17, 2020 09:48:40.067489000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"82","Jun 17, 2020 09:48:40.069100000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"83","Jun 17, 2020 09:48:40.073261000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"84","Jun 17, 2020 09:48:40.077415000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"85","Jun 17, 2020 09:48:40.080128000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"86","Jun 17, 2020 09:48:40.080174000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"87","Jun 17, 2020 09:48:40.095537000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"88","Jun 17, 2020 09:48:40.095584000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"89","Jun 17, 2020 09:48:40.130593000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"90","Jun 17, 2020 09:48:40.130639000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"91","Jun 17, 2020 09:48:40.160879000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"92","Jun 17, 2020 09:48:40.167472000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"93","Jun 17, 2020 09:48:40.171510000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"94","Jun 17, 2020 09:48:40.175607000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"95","Jun 17, 2020 09:48:40.179745000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"96","Jun 17, 2020 09:48:40.181793000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"97","Jun 17, 2020 09:48:40.181840000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"98","Jun 17, 2020 09:48:40.190116000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"99","Jun 17, 2020 09:48:40.190204000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"100","Jun 17, 2020 09:48:40.232100000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"101","Jun 17, 2020 09:48:40.232152000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"102","Jun 17, 2020 09:48:40.263448000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"103","Jun 17, 2020 09:48:40.270108000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"104","Jun 17, 2020 09:48:40.274085000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"105","Jun 17, 2020 09:48:40.278233000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"106","Jun 17, 2020 09:48:40.282323000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"107","Jun 17, 2020 09:48:40.283176000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"108","Jun 17, 2020 09:48:40.283265000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"109","Jun 17, 2020 09:48:40.283314000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"110","Jun 17, 2020 09:48:40.283363000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"111","Jun 17, 2020 09:48:40.333410000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"112","Jun 17, 2020 09:48:40.333462000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"113","Jun 17, 2020 09:48:40.365890000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"114","Jun 17, 2020 09:48:40.372480000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"115","Jun 17, 2020 09:48:40.376435000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"116","Jun 17, 2020 09:48:40.376529000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"117","Jun 17, 2020 09:48:40.376579000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"118","Jun 17, 2020 09:48:40.380613000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"119","Jun 17, 2020 09:48:40.384685000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"120","Jun 17, 2020 09:48:40.384778000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"121","Jun 17, 2020 09:48:40.384828000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"122","Jun 17, 2020 09:48:40.435737000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"123","Jun 17, 2020 09:48:40.435789000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"124","Jun 17, 2020 09:48:40.468252000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"125","Jun 17, 2020 09:48:40.474854000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"126","Jun 17, 2020 09:48:40.478932000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"127","Jun 17, 2020 09:48:40.483021000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"128","Jun 17, 2020 09:48:40.486943000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"129","Jun 17, 2020 09:48:40.487030000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"130","Jun 17, 2020 09:48:40.487114000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"131","Jun 17, 2020 09:48:40.531933000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"132","Jun 17, 2020 09:48:40.531985000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"133","Jun 17, 2020 09:48:40.537961000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"134","Jun 17, 2020 09:48:40.538010000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"135","Jun 17, 2020 09:48:40.570490000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"136","Jun 17, 2020 09:48:40.577170000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"137","Jun 17, 2020 09:48:40.581144000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"138","Jun 17, 2020 09:48:40.585256000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"139","Jun 17, 2020 09:48:40.589364000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"140","Jun 17, 2020 09:48:40.589412000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"141","Jun 17, 2020 09:48:40.589458000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"142","Jun 17, 2020 09:48:40.624067000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"143","Jun 17, 2020 09:48:40.624115000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"144","Jun 17, 2020 09:48:40.639419000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"145","Jun 17, 2020 09:48:40.639500000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"146","Jun 17, 2020 09:48:40.673098000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"147","Jun 17, 2020 09:48:40.679669000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"148","Jun 17, 2020 09:48:40.683746000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"149","Jun 17, 2020 09:48:40.687734000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"150","Jun 17, 2020 09:48:40.690709000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"151","Jun 17, 2020 09:48:40.690761000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"152","Jun 17, 2020 09:48:40.691926000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"153","Jun 17, 2020 09:48:40.717302000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"154","Jun 17, 2020 09:48:40.717355000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"155","Jun 17, 2020 09:48:40.740995000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"156","Jun 17, 2020 09:48:40.741047000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"157","Jun 17, 2020 09:48:40.775467000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"158","Jun 17, 2020 09:48:40.782220000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"159","Jun 17, 2020 09:48:40.786129000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"160","Jun 17, 2020 09:48:40.790306000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"161","Jun 17, 2020 09:48:40.791787000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"162","Jun 17, 2020 09:48:40.791875000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"163","Jun 17, 2020 09:48:40.794345000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
