frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 17, 2020 09:58:28.412994000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"2","Jun 17, 2020 09:58:28.413043000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"3","Jun 17, 2020 09:58:28.419623000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"4","Jun 17, 2020 09:58:28.419707000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"5","Jun 17, 2020 09:58:28.459949000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"6","Jun 17, 2020 09:58:28.460661000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"7","Jun 17, 2020 09:58:28.464810000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"8","Jun 17, 2020 09:58:28.468806000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"9","Jun 17, 2020 09:58:28.470689000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"10","Jun 17, 2020 09:58:28.470737000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"11","Jun 17, 2020 09:58:28.472918000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"12","Jun 17, 2020 09:58:28.494222000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"13","Jun 17, 2020 09:58:28.494442000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"14","Jun 17, 2020 09:58:28.503574000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"15","Jun 17, 2020 09:58:28.503624000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"16","Jun 17, 2020 09:58:28.521049000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"17","Jun 17, 2020 09:58:28.521096000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"18","Jun 17, 2020 09:58:28.539940000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"19","Jun 17, 2020 09:58:28.562544000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"20","Jun 17, 2020 09:58:28.563261000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"21","Jun 17, 2020 09:58:28.567315000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"22","Jun 17, 2020 09:58:28.571410000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"23","Jun 17, 2020 09:58:28.572290000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"24","Jun 17, 2020 09:58:28.572342000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"25","Jun 17, 2020 09:58:28.575527000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"26","Jun 17, 2020 09:58:28.596981000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"27","Jun 17, 2020 09:58:28.597068000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"28","Jun 17, 2020 09:58:28.623453000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"29","Jun 17, 2020 09:58:28.623541000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"30","Jun 17, 2020 09:58:28.664986000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"31","Jun 17, 2020 09:58:28.665672000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"32","Jun 17, 2020 09:58:28.666704000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"33","Jun 17, 2020 09:58:28.666793000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"34","Jun 17, 2020 09:58:28.666843000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"35","Jun 17, 2020 09:58:28.669228000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"36","Jun 17, 2020 09:58:28.669278000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"37","Jun 17, 2020 09:58:28.669326000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"38","Jun 17, 2020 09:58:28.669865000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"39","Jun 17, 2020 09:58:28.673816000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"40","Jun 17, 2020 09:58:28.674398000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"41","Jun 17, 2020 09:58:28.674947000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"42","Jun 17, 2020 09:58:28.675000000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"43","Jun 17, 2020 09:58:28.676426000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"44","Jun 17, 2020 09:58:28.677938000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"45","Jun 17, 2020 09:58:28.689845000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"46","Jun 17, 2020 09:58:28.689898000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"47","Jun 17, 2020 09:58:28.721911000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"48","Jun 17, 2020 09:58:28.724722000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"49","Jun 17, 2020 09:58:28.725091000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"50","Jun 17, 2020 09:58:28.725178000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"51","Jun 17, 2020 09:58:28.729455000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"52","Jun 17, 2020 09:58:28.729546000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"53","Jun 17, 2020 09:58:28.767364000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"54","Jun 17, 2020 09:58:28.767891000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"55","Jun 17, 2020 09:58:28.772029000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"56","Jun 17, 2020 09:58:28.775719000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"57","Jun 17, 2020 09:58:28.776264000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"58","Jun 17, 2020 09:58:28.776358000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"59","Jun 17, 2020 09:58:28.780353000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"60","Jun 17, 2020 09:58:28.782925000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"61","Jun 17, 2020 09:58:28.782977000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"62","Jun 17, 2020 09:58:28.790162000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"63","Jun 17, 2020 09:58:28.809258000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"64","Jun 17, 2020 09:58:28.826977000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"65","Jun 17, 2020 09:58:28.827029000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"66","Jun 17, 2020 09:58:28.854734000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"67","Jun 17, 2020 09:58:28.869769000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"68","Jun 17, 2020 09:58:28.870461000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"69","Jun 17, 2020 09:58:28.874510000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"70","Jun 17, 2020 09:58:28.875985000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"71","Jun 17, 2020 09:58:28.876037000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"72","Jun 17, 2020 09:58:28.878125000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"73","Jun 17, 2020 09:58:28.878720000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"74","Jun 17, 2020 09:58:28.878815000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"75","Jun 17, 2020 09:58:28.882753000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"76","Jun 17, 2020 09:58:28.900575000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"77","Jun 17, 2020 09:58:28.901336000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"78","Jun 17, 2020 09:58:28.920636000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"79","Jun 17, 2020 09:58:28.926983000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"80","Jun 17, 2020 09:58:28.928385000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"81","Jun 17, 2020 09:58:28.928435000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"82","Jun 17, 2020 09:58:28.940993000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"83","Jun 17, 2020 09:58:28.968273000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"84","Jun 17, 2020 09:58:28.968319000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"85","Jun 17, 2020 09:58:28.972004000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"86","Jun 17, 2020 09:58:28.972089000 Mitteleuropäische Sommerzeit",,,,,,"498d76d341360075a4","9",,,,,,,
"87","Jun 17, 2020 09:58:28.972686000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"88","Jun 17, 2020 09:58:28.976863000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"89","Jun 17, 2020 09:58:28.979690000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"90","Jun 17, 2020 09:58:28.979779000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"91","Jun 17, 2020 09:58:28.980886000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"92","Jun 17, 2020 09:58:28.985168000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"93","Jun 17, 2020 09:58:28.986045000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"94","Jun 17, 2020 09:58:28.986093000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"95","Jun 17, 2020 09:58:29.030730000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"96","Jun 17, 2020 09:58:29.030815000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"97","Jun 17, 2020 09:58:29.074542000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"98","Jun 17, 2020 09:58:29.075284000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"99","Jun 17, 2020 09:58:29.079303000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"100","Jun 17, 2020 09:58:29.082041000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"101","Jun 17, 2020 09:58:29.082129000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"102","Jun 17, 2020 09:58:29.083448000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"103","Jun 17, 2020 09:58:29.087549000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"104","Jun 17, 2020 09:58:29.118740000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"105","Jun 17, 2020 09:58:29.123896000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"106","Jun 17, 2020 09:58:29.123948000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"107","Jun 17, 2020 09:58:29.133068000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"108","Jun 17, 2020 09:58:29.133120000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"109","Jun 17, 2020 09:58:29.165882000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"110","Jun 17, 2020 09:58:29.176976000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"111","Jun 17, 2020 09:58:29.177685000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"112","Jun 17, 2020 09:58:29.181651000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"113","Jun 17, 2020 09:58:29.184025000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"114","Jun 17, 2020 09:58:29.184077000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"115","Jun 17, 2020 09:58:29.185858000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"116","Jun 17, 2020 09:58:29.189987000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"117","Jun 17, 2020 09:58:29.216837000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"118","Jun 17, 2020 09:58:29.216923000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"119","Jun 17, 2020 09:58:29.234173000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"120","Jun 17, 2020 09:58:29.234259000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"121","Jun 17, 2020 09:58:29.279370000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"122","Jun 17, 2020 09:58:29.280084000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"123","Jun 17, 2020 09:58:29.284112000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"124","Jun 17, 2020 09:58:29.285350000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"125","Jun 17, 2020 09:58:29.285402000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"126","Jun 17, 2020 09:58:29.288221000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"127","Jun 17, 2020 09:58:29.292329000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"128","Jun 17, 2020 09:58:29.299182000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"129","Jun 17, 2020 09:58:29.299234000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"130","Jun 17, 2020 09:58:29.310145000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"131","Jun 17, 2020 09:58:29.310197000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"132","Jun 17, 2020 09:58:29.335627000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"133","Jun 17, 2020 09:58:29.335675000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"134","Jun 17, 2020 09:58:29.346231000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"135","Jun 17, 2020 09:58:29.381782000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"136","Jun 17, 2020 09:58:29.382476000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"137","Jun 17, 2020 09:58:29.386515000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"138","Jun 17, 2020 09:58:29.386609000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"139","Jun 17, 2020 09:58:29.386659000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"140","Jun 17, 2020 09:58:29.390613000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"141","Jun 17, 2020 09:58:29.394752000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"142","Jun 17, 2020 09:58:29.403448000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"143","Jun 17, 2020 09:58:29.403536000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"144","Jun 17, 2020 09:58:29.437047000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"145","Jun 17, 2020 09:58:29.437093000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"146","Jun 17, 2020 09:58:29.478834000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"147","Jun 17, 2020 09:58:29.484057000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"148","Jun 17, 2020 09:58:29.484704000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"149","Jun 17, 2020 09:58:29.488047000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"150","Jun 17, 2020 09:58:29.488151000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"151","Jun 17, 2020 09:58:29.488747000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"152","Jun 17, 2020 09:58:29.492860000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"153","Jun 17, 2020 09:58:29.496393000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"154","Jun 17, 2020 09:58:29.496440000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"155","Jun 17, 2020 09:58:29.496955000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"156","Jun 17, 2020 09:58:29.523931000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"157","Jun 17, 2020 09:58:29.523978000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"158","Jun 17, 2020 09:58:29.539095000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"159","Jun 17, 2020 09:58:29.539143000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"160","Jun 17, 2020 09:58:29.557371000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"161","Jun 17, 2020 09:58:29.557417000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"162","Jun 17, 2020 09:58:29.557464000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"163","Jun 17, 2020 09:58:29.586556000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"164","Jun 17, 2020 09:58:29.587261000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"165","Jun 17, 2020 09:58:29.590429000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"166","Jun 17, 2020 09:58:29.590518000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"167","Jun 17, 2020 09:58:29.590568000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"168","Jun 17, 2020 09:58:29.590616000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"169","Jun 17, 2020 09:58:29.591302000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"170","Jun 17, 2020 09:58:29.595460000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"171","Jun 17, 2020 09:58:29.599563000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"172","Jun 17, 2020 09:58:29.629013000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"173","Jun 17, 2020 09:58:29.640611000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"174","Jun 17, 2020 09:58:29.640663000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"175","Jun 17, 2020 09:58:29.652827000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"176","Jun 17, 2020 09:58:29.652879000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"177","Jun 17, 2020 09:58:29.670517000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"178","Jun 17, 2020 09:58:29.674298000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"179","Jun 17, 2020 09:58:29.674386000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"180","Jun 17, 2020 09:58:29.674436000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"181","Jun 17, 2020 09:58:29.688997000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"182","Jun 17, 2020 09:58:29.689711000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"183","Jun 17, 2020 09:58:29.691685000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"184","Jun 17, 2020 09:58:29.691771000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"185","Jun 17, 2020 09:58:29.693730000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"186","Jun 17, 2020 09:58:29.697846000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"187","Jun 17, 2020 09:58:29.701971000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"188","Jun 17, 2020 09:58:29.742837000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"189","Jun 17, 2020 09:58:29.742924000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"190","Jun 17, 2020 09:58:29.746061000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"191","Jun 17, 2020 09:58:29.746147000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"192","Jun 17, 2020 09:58:29.776664000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"193","Jun 17, 2020 09:58:29.776716000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"194","Jun 17, 2020 09:58:29.791227000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"195","Jun 17, 2020 09:58:29.792099000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"196","Jun 17, 2020 09:58:29.792955000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"197","Jun 17, 2020 09:58:29.793512000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"198","Jun 17, 2020 09:58:29.793601000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"199","Jun 17, 2020 09:58:29.796099000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"200","Jun 17, 2020 09:58:29.800241000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"201","Jun 17, 2020 09:58:29.804451000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"202","Jun 17, 2020 09:58:29.822107000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"203","Jun 17, 2020 09:58:29.839043000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"204","Jun 17, 2020 09:58:29.839135000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"205","Jun 17, 2020 09:58:29.844184000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"206","Jun 17, 2020 09:58:29.844236000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"207","Jun 17, 2020 09:58:29.893767000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"208","Jun 17, 2020 09:58:29.894480000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"209","Jun 17, 2020 09:58:29.895146000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"210","Jun 17, 2020 09:58:29.895198000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"211","Jun 17, 2020 09:58:29.898390000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"212","Jun 17, 2020 09:58:29.902652000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"213","Jun 17, 2020 09:58:29.906562000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"214","Jun 17, 2020 09:58:29.933142000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"215","Jun 17, 2020 09:58:29.933188000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"216","Jun 17, 2020 09:58:29.945584000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"217","Jun 17, 2020 09:58:29.945667000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"218","Jun 17, 2020 09:58:29.954617000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"219","Jun 17, 2020 09:58:29.996003000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"220","Jun 17, 2020 09:58:29.996686000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"221","Jun 17, 2020 09:58:29.996841000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"222","Jun 17, 2020 09:58:29.996913000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"223","Jun 17, 2020 09:58:29.999528000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"224","Jun 17, 2020 09:58:30.000690000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"225","Jun 17, 2020 09:58:30.004836000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"226","Jun 17, 2020 09:58:30.008982000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"227","Jun 17, 2020 09:58:30.024827000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"228","Jun 17, 2020 09:58:30.026506000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"229","Jun 17, 2020 09:58:30.026554000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
