frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 17, 2020 09:56:21.368038000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"2","Jun 17, 2020 09:56:21.368087000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"3","Jun 17, 2020 09:56:21.369406000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"4","Jun 17, 2020 09:56:21.379346000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"5","Jun 17, 2020 09:56:21.381303000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"6","Jun 17, 2020 09:56:21.385337000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"7","Jun 17, 2020 09:56:21.389452000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"8","Jun 17, 2020 09:56:21.393582000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"9","Jun 17, 2020 09:56:21.407076000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"10","Jun 17, 2020 09:56:21.407162000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"11","Jun 17, 2020 09:56:21.419273000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"12","Jun 17, 2020 09:56:21.419357000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"13","Jun 17, 2020 09:56:21.470435000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"14","Jun 17, 2020 09:56:21.470486000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"15","Jun 17, 2020 09:56:21.481878000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"16","Jun 17, 2020 09:56:21.483748000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"17","Jun 17, 2020 09:56:21.487918000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"18","Jun 17, 2020 09:56:21.492042000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"19","Jun 17, 2020 09:56:21.496119000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"20","Jun 17, 2020 09:56:21.500278000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"21","Jun 17, 2020 09:56:21.500325000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"22","Jun 17, 2020 09:56:21.520897000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"23","Jun 17, 2020 09:56:21.520949000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"24","Jun 17, 2020 09:56:21.571751000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"25","Jun 17, 2020 09:56:21.571806000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"26","Jun 17, 2020 09:56:21.584230000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"27","Jun 17, 2020 09:56:21.586124000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"28","Jun 17, 2020 09:56:21.590154000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"29","Jun 17, 2020 09:56:21.594454000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"30","Jun 17, 2020 09:56:21.598549000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"31","Jun 17, 2020 09:56:21.623151000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"32","Jun 17, 2020 09:56:21.623252000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"33","Jun 17, 2020 09:56:21.655979000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"34","Jun 17, 2020 09:56:21.656032000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"35","Jun 17, 2020 09:56:21.674326000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"36","Jun 17, 2020 09:56:21.674378000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"37","Jun 17, 2020 09:56:21.686709000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"38","Jun 17, 2020 09:56:21.686801000 Mitteleuropäische Sommerzeit",,,,,,"80c8bc1ac5f98884fb8d062d135d1f64e4d5a3b4452fde7610b629c948cb43b74168df1643dd8f4e5276a7337337c69cb9a54124cf5352f8d46b281daec169833353d3d9fbb790c8e78b222bec1e7373d67a8a519234960c685536e91d7ac9ab7562ade33e21189655cc7d89c51a5eaebab73c8e951b4127d163c3798f05c88bd473b45ed4e39df1bf95b520de4a34c3714e610ba6cec0775f5d307702aa2076474f91712798e8b41a208cace6bb1d676ab0053a557432d9","184",,,,,,,
"39","Jun 17, 2020 09:56:21.688704000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"40","Jun 17, 2020 09:56:21.692737000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"41","Jun 17, 2020 09:56:21.696893000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"42","Jun 17, 2020 09:56:21.701022000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"43","Jun 17, 2020 09:56:21.724539000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"44","Jun 17, 2020 09:56:21.724591000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"45","Jun 17, 2020 09:56:21.737281000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"46","Jun 17, 2020 09:56:21.751139000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"47","Jun 17, 2020 09:56:21.751191000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"48","Jun 17, 2020 09:56:21.775750000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"49","Jun 17, 2020 09:56:21.775836000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"50","Jun 17, 2020 09:56:21.789095000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"51","Jun 17, 2020 09:56:21.791096000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"52","Jun 17, 2020 09:56:21.795132000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"53","Jun 17, 2020 09:56:21.799307000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"54","Jun 17, 2020 09:56:21.803391000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"55","Jun 17, 2020 09:56:21.826054000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"56","Jun 17, 2020 09:56:21.826106000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"57","Jun 17, 2020 09:56:21.843509000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"58","Jun 17, 2020 09:56:21.843641000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"59","Jun 17, 2020 09:56:21.876024000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"60","Jun 17, 2020 09:56:21.876074000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"61","Jun 17, 2020 09:56:21.891299000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"62","Jun 17, 2020 09:56:21.893442000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"63","Jun 17, 2020 09:56:21.897377000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
