frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 17, 2020 09:59:32.170832000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"2","Jun 17, 2020 09:59:32.170881000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"3","Jun 17, 2020 09:59:32.220365000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"4","Jun 17, 2020 09:59:32.220453000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"5","Jun 17, 2020 09:59:32.221456000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"6","Jun 17, 2020 09:59:32.221551000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"7","Jun 17, 2020 09:59:32.255802000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"8","Jun 17, 2020 09:59:32.256354000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"9","Jun 17, 2020 09:59:32.260386000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"10","Jun 17, 2020 09:59:32.264508000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"11","Jun 17, 2020 09:59:32.268713000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"12","Jun 17, 2020 09:59:32.272459000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"13","Jun 17, 2020 09:59:32.272508000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"14","Jun 17, 2020 09:59:32.313513000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"15","Jun 17, 2020 09:59:32.313559000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"16","Jun 17, 2020 09:59:32.322941000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"17","Jun 17, 2020 09:59:32.323027000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"18","Jun 17, 2020 09:59:32.358445000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"19","Jun 17, 2020 09:59:32.358970000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"20","Jun 17, 2020 09:59:32.362961000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"21","Jun 17, 2020 09:59:32.367083000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"22","Jun 17, 2020 09:59:32.371203000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"23","Jun 17, 2020 09:59:32.373976000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"24","Jun 17, 2020 09:59:32.374027000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"25","Jun 17, 2020 09:59:32.407956000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"26","Jun 17, 2020 09:59:32.408055000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"27","Jun 17, 2020 09:59:32.424437000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"28","Jun 17, 2020 09:59:32.424528000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"29","Jun 17, 2020 09:59:32.461359000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"30","Jun 17, 2020 09:59:32.465233000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"31","Jun 17, 2020 09:59:32.469525000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"32","Jun 17, 2020 09:59:32.473632000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"33","Jun 17, 2020 09:59:32.475294000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"34","Jun 17, 2020 09:59:32.475347000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"35","Jun 17, 2020 09:59:32.501036000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"36","Jun 17, 2020 09:59:32.501085000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"37","Jun 17, 2020 09:59:32.526528000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"38","Jun 17, 2020 09:59:32.526580000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"39","Jun 17, 2020 09:59:32.563736000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"40","Jun 17, 2020 09:59:32.567827000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"41","Jun 17, 2020 09:59:32.571906000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"42","Jun 17, 2020 09:59:32.576169000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"43","Jun 17, 2020 09:59:32.577602000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"44","Jun 17, 2020 09:59:32.577654000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"45","Jun 17, 2020 09:59:32.596168000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"46","Jun 17, 2020 09:59:32.596219000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"47","Jun 17, 2020 09:59:32.628006000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"48","Jun 17, 2020 09:59:32.628094000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"49","Jun 17, 2020 09:59:32.666187000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
"50","Jun 17, 2020 09:59:32.670221000 Mitteleuropäische Sommerzeit",,,,,,,,,,,,,,
