frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun  6, 2020 17:27:27.884190000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310070000000000721ae555edbb5de8052a323ad33df945fb6cdd7d0a499fe303a7493a4889006ffae411729be86f065ee14f6e4ce00f7083d83e63cff5280755070961c15514b192403b6f670aacf99da13fbcfd269864b70ab09a5eefe2c098a2da7c76abfc053eb9874e50e8e82","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"2","Jun  6, 2020 17:27:27.954667000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310040000000000721ae555edbb5df7efea2fd7132c2f5fdd2d032359918ab47e82de4f0d944c64e0cc5a9cf09581a3a9d9c8733bddac5a8a6f231fa2e6955","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"3","Jun  6, 2020 17:27:27.959515000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310060000000000721ae555edbb5df44b21b3ee0d9d9d92740510dc288e1b0e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d602bc2a0362bc376b6190da043838fed01bd134b26e856f5c61003822af0bf0c0c","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"4","Jun  6, 2020 17:27:27.996886000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310040000000000721ae555edbb5dfb22f2601dc3317bf430fccb52b595bf95528ec2a0980440374f11372673bf00a9b4a4d18dfaeb1002a6c69447ec9319b","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"5","Jun  6, 2020 17:27:28.805023000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310070000000000721ae555edbb5df57f80dc3b3d676eb4e7883ee1e2cc44d303a7493a4889006ffae411729be86f0961947775d7e42989d7effe20ce51bf10ecff74fcf5d4973f6a7a63d7f15009bda5cfa625072e4da034facad9790efe30c140b6addbd3fc113fd36deb6c205cb","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"6","Jun  6, 2020 17:27:28.877590000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310040000000000721ae555edbb5df87c69e0ea5630f1fcf3062cba4446e8647e82de4f0d944c64e0cc5a9cf09581ac4d524b6f4d9ea854d1fa059aaef0f37","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"7","Jun  6, 2020 17:27:29.182315000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310060000000000721ae555edbb5e0f9c4af4000c10fbbb625875db2342b90e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d606a75bbbbc6d2d78d22c07f898239cad34ff890acb702e575a1e29d6dbba6c5a0","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"8","Jun  6, 2020 17:27:29.214013000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310070000000000721ae555edbb5df623cca00f05529255c076eec6b6c26d6303a7493a4889006ffae411729be86f0d4fb204233276fdf4f16a21f77c03c9ee1274372359cc3e46a908b945401e3a9abc5be31ae388e3f609fd9023c76e371ba7b7dcb9bc56c3b9f306d9a6ae817dd","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"9","Jun  6, 2020 17:27:29.227038000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310040000000000721ae555edbb5e06deaf3478b16c866bc95702dc4ed107b485b110792068e6d7286d395fc27cc18908b3f8016486d76c7a8a77c5b237b8e","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"10","Jun  6, 2020 17:27:29.240454000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310040000000000721ae555edbb5e02a06b8a8025860cca00ac9343cfdf56c47e82de4f0d944c64e0cc5a9cf09581a1ac5bc66307ffc2c54e24a5bfda81c89","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"11","Jun  6, 2020 17:27:29.482096000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310060000000000721ae555edbb5e0f903e624bddbaa841ecfd9f90b0742c5e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d609ceea868a7ab7d6ac42c2bfdee0d3805fce062d5a91f58f45b078138e5661e78","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"12","Jun  6, 2020 17:27:29.535146000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310040000000000721ae555edbb5e00890037aa1d32dafff72625bb9619212ec8106dd4e5fea549852d69c5f545a561f50035aa070870ebde92d2603ed98b8","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
