frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 10:20:44.582493000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5ddda1f2eecdc1f23e572bdd599c3e50a5c54303a7493a4889006ffae411729be86f04fdc22c9f617ac6398331e56c59af0861dd627e4ffb384a7b273c2d5be4c31aae52eb920d5e19a2e3ef41c6996b3ca590e73ce999f39da7130f186582ba4bbbd","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"2","Jun 14, 2020 10:20:44.752658000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dddaab4a50bc703085fc4271abf6242bf45547e82de4f0d944c64e0cc5a9cf09581a041d8c23c9f6ab1ec1ef95b01aa6be54","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 10:20:44.755314000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5ddda613b63df8adf36c6424a1fc7d344a35ae3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60331fb84c4aa490a4fad40bc35d932e84e960323272593708cb27401b13a51ba8","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 10:20:44.789079000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5ddda7fd3210a46cecb9fe981c35176adde8b7ef223ea417af33b9e63cbfa5854bf66a1802c350ed805b6d6a918d7b1300352","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"5","Jun 14, 2020 10:20:45.086023000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dddacc9a653bde272abc1da8ffcae64cbcc4303a7493a4889006ffae411729be86f05da2599eaa611bfb33030256560143fab91b66880c010992411a133b6e107ac5353fa02455be58f32c3fd1983420bd49ba710cd67fcf78b682066caf62f1638d","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"6","Jun 14, 2020 10:20:45.367245000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dddb8e2c8c42f8de5402a24f8388ae925b5547e82de4f0d944c64e0cc5a9cf09581a418bd62c2cf89f9a4116aa35eff69c9f","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"7","Jun 14, 2020 10:20:45.701125000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dddb968a1340746caff7d240798d2b39e5cb303a7493a4889006ffae411729be86f04136d288472150eb9cdde1336dd0f25afaba9fd660005d2f3c364c56622fded1533d1c227925f434c4c03dee0460f14aa4bff1fe4b9b99b7e74dc75049974d98","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"8","Jun 14, 2020 10:20:45.977139000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5dddb61c139ecd3bfd497711ee83f90e1de2ce3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60fc1af2bd81c382ce57a122269aa06afb3732d485febadd247ee282d707fb2609","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"9","Jun 14, 2020 10:20:45.982146000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dddb3a49542c5bd9fd98a145561e6b076a7947e82de4f0d944c64e0cc5a9cf09581a9db94b692943665d0a33cc18fb7f1b7b","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"10","Jun 14, 2020 10:20:46.017078000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5dddb2b89c51b395708c25b88296f376c266bcaf1eae628ba53d482d5ff9d3721d8d77054e9f5ab5c3d84a574e9c19e1344ac","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"11","Jun 14, 2020 10:20:46.108660000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dddb21a2a27d28c082bf6cd909d036565e6c303a7493a4889006ffae411729be86f06ddc766fba020825d5e2d1577aff08586f587f81f9ea514203d6d5a0fa95ec5162aeff69ec5cf5649c6b5e99b0d6244d838d12e73f7d56dae3bd8190315617c3","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"12","Jun 14, 2020 10:20:46.280051000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5dddc9f233c712aebcfc046e8b8827738a86be3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d609c7ec25534a188597e92c156c09b77d73dfc77323f435c9bd4936d5e01774266","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"13","Jun 14, 2020 10:20:46.287717000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dddc9bd6c1ecd408ad83db055edbd3541e8747e82de4f0d944c64e0cc5a9cf09581a717f186a2aaffd3069f843025bff1bce","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"14","Jun 14, 2020 10:20:46.325752000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5dddcbcedfae6bf3aa1734dcb23a50281277b06f6db1d0bf99ea9279533ca56408b2288e7faa3c4331752779673959e2ee2b8","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"15","Jun 14, 2020 10:20:46.578630000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5dddc4150814f403f3ab7d9801aeb30530e4de3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60512139360b81907937b79a9ac09eeea060d33bb44c4a2b159806362ed49326f7","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
