frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 10:23:22.482139000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de77df7e021c1f4022be6f8ead3643a6e6cb303a7493a4889006ffae411729be86f012b65aaacf09af881dee05c2d64104205d494012c20f702a477455bb87e73d44c6d23a1cd693f649c244dc77140892568f38c78d888edfbfa8cc5c8e1a2c8fcf","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"2","Jun 14, 2020 10:23:22.655960000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de78be0d27ec632a89c86521b6bd6d96242947e82de4f0d944c64e0cc5a9cf09581a1d0aefb46ec44d2e4205b14e69f69660","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 10:23:22.658596000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de78467b8e6b039fbfe0a2cddab5691abe3be3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d6020b24cd2af59bc2860dc9eeb03b029225de0736cf8eb6b0a4619d605855655ab","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 10:23:22.695914000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de78a9cd57f3fc2bf92ee5b86035a0ec5a8fc27a75944c24339a4195f8d49e4b0145304b2452be2abf09014e9f94bbecb332","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"5","Jun 14, 2020 10:23:22.785372000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de78aa9a3a711f854c969d042df91d99fde3303a7493a4889006ffae411729be86f0643aa45bc84a5e6f845064c44805b45f42856758c0836fa602aa9959cebc23863ed25e30ff2d247f2aeedbc56c6642a485e44098ee1a547487edbef77e4bd75d","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"6","Jun 14, 2020 10:23:22.969342000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7899874e5a22b3d1ac7cd18e8e803c331547e82de4f0d944c64e0cc5a9cf09581ae7955aa844eec411d2a750355e80850f","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"7","Jun 14, 2020 10:23:23.301730000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de7832afe1a37e94ad5b11bc01990cc7d564303a7493a4889006ffae411729be86f0da4b83527e5564473637eb2f3f5bf45c15327995a969d332079bbe4d734767d1df888251f381d074db58383d4a83f3cf30d313c53f868fe7302695cb549e4d1a","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"8","Jun 14, 2020 10:23:23.578248000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7911f4876615870c3bf608cdc0b2eb6f6447e82de4f0d944c64e0cc5a9cf09581a9d840eadc920f9683a77f7d9e8025db7","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"9","Jun 14, 2020 10:23:23.872966000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de79090bd42aeeaa9b845587cea76fe2c1abe3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d608027bebf2b20bc0109a4d984c5eef9541a10d05092c8e4bdfbb5edb68bfcbdb3","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"10","Jun 14, 2020 10:23:23.922988000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de792673eaf6d50bc386c57ef6917365d42f42946e3d279e0816d5b85ce60390a71e5fcbe608e4c37b2715f878a4bee0c80d","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"11","Jun 14, 2020 10:23:24.332954000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de7920a30f721806168b2e85fbb79700ef85303a7493a4889006ffae411729be86f06d92f9db4bbee670c07d4be7377e1d3548953a2138cffce3c56e2da95685863ca56293c7b937d83abc63e3d95eab35939de48314eb40e72347b7da846b91dc78","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"12","Jun 14, 2020 10:23:24.347693000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7a8f18bb6f1c47163b574d062619ea047a47e82de4f0d944c64e0cc5a9cf09581a0e9eb24a4ce4faf1f6436c5739c9a753","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"13","Jun 14, 2020 10:23:24.936617000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de7b73c116740d4eb3162830653b9d54d16c303a7493a4889006ffae411729be86f08f67ddef9ca9b43f70cf12d10eac0e07197cd48f77cd8661a357a668405596e88083891a7d8796b1fd5f1e364943a32d72bd230616bf29a482d664c0b946b452","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"14","Jun 14, 2020 10:23:24.962091000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7a751edb4898a2fdc4caf2eb63e5f5c9cb47e82de4f0d944c64e0cc5a9cf09581a6bd96af228c18d938555a324c7ea834d","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"15","Jun 14, 2020 10:23:25.070113000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de7b3ec4ea12f841a26fcf8c092fd8e4baffe3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d603c11a7e4ef865ec3bc24afb59d0e417639faafc926364c8764cea96b24cf5ca3","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"16","Jun 14, 2020 10:23:25.151829000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de7b48d4073d8608da28452ac6a3e5eac8f31e030eddae949ac77f2417fc8844bb3fc84e22300ed9b7ed4c86dd859fff5878","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"17","Jun 14, 2020 10:23:25.353703000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de7be8e86389e0257a62c9174269fe9d1344303a7493a4889006ffae411729be86f0443b5199a64f1ab38d8ee07357ddb173a3347a4d6b4bb213cf9f7713894f10df34607df3809214e197e1f634ae238531b1127810bb54941ee0c5fe404089bf89","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"18","Jun 14, 2020 10:23:25.371560000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7bcb1842d2f6cc25d6271b3221af9c281d47e82de4f0d944c64e0cc5a9cf09581ac6790ecc1082560d096a269e63ef3b81","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"19","Jun 14, 2020 10:23:25.869800000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de7ca14a83e716aec23e2471b3fc8e2a247d303a7493a4889006ffae411729be86f0f8b8ffb9fffb3661425f6a37aa39eb48490d8839c80fcca45ecbb1680808a91748c8c4849c2ed45256a883b604d1ebefe65959665d25c99f83dc005bf0ef1d7f","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"20","Jun 14, 2020 10:23:25.884093000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7b3de08d20e56b78cb969f85874c603f5647e82de4f0d944c64e0cc5a9cf09581a814c59981583cc39399ee617caf8cbcd","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"21","Jun 14, 2020 10:23:26.293633000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de7c3ec72ddd9983de8375906a13e55d8e30e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60f5b47b168d2a29a0313bf0ef637c522d866eeda31d7486aa85bc554621c3f120","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"22","Jun 14, 2020 10:23:26.379990000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de7c67c248732d478a4f6a691c572735a0a1fdcd8653fc2488d903690a76767aecc96926948d9a22c76a0bd254d91804e806","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"23","Jun 14, 2020 10:23:26.472235000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de7c0b8d528abd6e5558e2c819f1172560a3303a7493a4889006ffae411729be86f0b6658aa735791edb681c1b289611ec2df0b77dca3b3709dab16df884c51ce1c958a80f70cb033e2aa893d2eb5b70eacbf0561941733d1d8352aaf6a03c8a665e","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"24","Jun 14, 2020 10:23:26.497864000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7cf12bd00555c132df2641e21c169ba15847e82de4f0d944c64e0cc5a9cf09581a0f2257cfb15592af0732b4786f606542","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"25","Jun 14, 2020 10:23:27.397277000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de7d84a9061d2868578cecc87891251adc46303a7493a4889006ffae411729be86f0a55224ad0004ab40d49ad8b40fb8d792e7d05e36f8a40fe79c836b265c67ccb9a1b69bc01df45ae66e89b850aa898730c26fb68fac7b57ac334545f054858d5d","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"26","Jun 14, 2020 10:23:27.419241000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7dbeeb8433f50bbe7c9d5c10e16437dbe147e82de4f0d944c64e0cc5a9cf09581a3d69852bf47afcee2a240e63dc12ad14","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"27","Jun 14, 2020 10:23:27.469827000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de7dda0c12b736a17cd12b96e2eae787ff66e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d6087407e8ad727f307518ad477be76e51a4a2930633f6f5ef9c662712778ea6e41","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
