frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 14, 2020 10:26:36.945260000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df3bd5bec2ac1d07449f54c904fa83122e14303a7493a4889006ffae411729be86f09a94382092d078e8980c2c44157ed63b1c3ad033a6b9677b2306b2f8ade0b96b2f3f9394d00958d6e7a2cfabf8a20ffdec65da670778439dcb7d296a72b28661","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"2","Jun 14, 2020 10:26:37.119333000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df3bf40c0152bcbb524baafd68e9c4efd64847e82de4f0d944c64e0cc5a9cf09581aca62ad6a35ba12ec798903f4581c2fc9","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"3","Jun 14, 2020 10:26:37.123808000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5df3b88e4b22b038ba9a75dc6c341848bd352e3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b467437b929a1e1cc4b21d0b91f281631dbb4abe26fbfafab4eb5d5245f4c96d1dcf4b","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"4","Jun 14, 2020 10:26:37.155973000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5df3b59e7416c8c2cb98afd48c1f28ec8d034bb36f3c27c9aa68acf8dd900171a2ee40ea19f73c8b2c33c526679635b1ebf1e","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"5","Jun 14, 2020 10:26:37.452176000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df3b5ecdc4a5d802b8a768228abf7ce5e51b303a7493a4889006ffae411729be86f022d63d7b43d8e18c9748c0a59b2753a965d3a7a8eca78abfafc85fc8074a19f8bb6b0db68b4841d085db99602f86e419e0ace8cb767d8c0778ecac753c8c9944","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"6","Jun 14, 2020 10:26:37.740857000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df3bc866d85dce5f9a59b19def8c6f9e0ae447e82de4f0d944c64e0cc5a9cf09581a3fcf9407750f5e87d3e6efee981628ab","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"7","Jun 14, 2020 10:26:37.965283000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df3b85cb2d5e1fd2c25bcce3a3b2f94ed3b3303a7493a4889006ffae411729be86f09f0cd69f76cac2abb2a723742b0eed2ccf7b6a313c610eb243357b1710ae074cb3e84932a42f9b31129f4e8737c83f71b9b108f23a27ffc58bcc95887d529f41","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"8","Jun 14, 2020 10:26:38.040189000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df3b882db70e7fe4cc5c552a312019ddad1f47e82de4f0d944c64e0cc5a9cf09581ab2ffa8db72eeb44da6843b8349b0459c","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"9","Jun 14, 2020 10:26:38.346924000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5df3ccdfe0544f7fa7e10a1cab8b09ad4a657e3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b4674301d6147adb96629f4a44ad6a7ac34533c33e3b6e8855006dccb75c953227d031","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"10","Jun 14, 2020 10:26:38.384226000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5df3cec1f485ed2626d1d64707e16b24685fbe1cf997b889541ffdf662519b72c3af2fbe687c39cd16047dccff6eba03bd6e4","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
