frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 10:27:37.875401000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df77d9efc5c28cee94bb26af668881240520303a7493a4889006ffae411729be86f0a83059087757aacd674c89974edb6f4be8b0b46ac5f2f2840bf0eb3fa11a49e8bed31907b1af9cb1b330e5ddef1b2da884fb90afe48d2c14f122915bfa4793b4","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"2","Jun 14, 2020 10:27:37.946658000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df778d06fbcf13b0acf8974edd8da5a3b23e47e82de4f0d944c64e0cc5a9cf09581ae886a74a46958d61f3893576987a10ba","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 10:27:37.955631000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5df77feee36d245adc48eb91d15061edb7d4ee3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743fae974268405b6ab433b90b54580f16a80503c70b32c469e055eedf8e37603ab","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 10:27:37.983318000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5df778534018323bc5c5c0712664b9ce02f9d6d95c4610b0625a3718310fc90373d6928441d4fd231300f64be9b6fbc1dba5e","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"5","Jun 14, 2020 10:27:38.898658000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df78f79b1f3242c4128aaf65ae66bce2fdfd303a7493a4889006ffae411729be86f03db6b590300b53c4bb5889215a43e93109e1cf58d03e07079e2137b0cdaa092d2ba36e55277ce622f08818d43f1fd7f77e5135411684a4dbcb0f7c64c5b90e6f","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"6","Jun 14, 2020 10:27:39.175555000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df795473d7ca91ef2386568e3369d5e250c347e82de4f0d944c64e0cc5a9cf09581afa75085c434c60ddc3acf2775cea3aee","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"7","Jun 14, 2020 10:27:39.185666000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5df79448d5473071eba94339f566ac49bc439e3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743d82210ef520c2fc82116fc765b37dd24a4a98eeacdc43a4dfc694e091daf64cb","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"8","Jun 14, 2020 10:27:39.213466000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5df796e9642eb3f574bf9c947e0e717cedc540680a8024bf7d14c569cf7ae7d123751888217a17987548a43f45c450621a60d","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"9","Jun 14, 2020 10:27:39.406892000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df79e2d1a0d538546a8a3b39e3908f70b347303a7493a4889006ffae411729be86f038a3e65f728e1d7536ce60604470d0fe5158851d44c9d442e72fe881beb90f41cbf77fd24f397aaf99a6d81fe5c46bd894f63b9b2e4fe9e66a2579a66dacf55a","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"10","Jun 14, 2020 10:27:39.482039000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df79114e8a58058bfa0b4cb599a8cdb2c57947e82de4f0d944c64e0cc5a9cf09581a52435ad018598bf65794b8bf36969e30","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"11","Jun 14, 2020 10:27:39.817718000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df7a149fbe6e46bb0082e64b5d21ad1738a3303a7493a4889006ffae411729be86f02e7b3830baa6a449b10d305b5f9bed5772538fd7c041d20d98d97acfcd0205891b26c7ec32c391fc84f0d1e070427cf2690ac31b3c02ec48c3943f962187d81d","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"12","Jun 14, 2020 10:27:40.095665000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df7a63f009aecaccbdf49be15c9790ce949f47e82de4f0d944c64e0cc5a9cf09581a611e7ab6d065539df7ea83300d5f26c8","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"13","Jun 14, 2020 10:27:40.385797000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5df7a337804f44d28ac901c7088095ddfc584e3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743821bdf99784553087cb4887a6a47fab9414dbbcefe7735f4fca774fc11d13290","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"14","Jun 14, 2020 10:27:40.433586000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df7a529287dab08594c60bfb83c7da6502d5303a7493a4889006ffae411729be86f0e31e0032eb719cc76d26670f3d39d124c56a48da5a57a45756fbe29cd6b17118ed4f47582fb9ebeaff068e5f2ef90c9b38dca412a2d219533cd2ba087774f90c","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"15","Jun 14, 2020 10:27:40.441041000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5df7a8522c6c4306ce27e7a5c6338172d43da87a2e5f85df11e6a696e9cfea3ab0cdd0a603fc54df3b0d8f9a1deb6be26a0d9","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"16","Jun 14, 2020 10:27:40.457418000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df7a1f1f26d623ca721a10f98ec0f85cdb4b47e82de4f0d944c64e0cc5a9cf09581ae0f09daba72c1a216b7466b6915c43ce","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"17","Jun 14, 2020 10:27:40.685719000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5df7a7fde34a1c6a86b345ef4b0d99c1777ffe3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b467434f0935f01ef4cd6b163090975a18ab662d1e35e613ecf14c4a9593f3eb902258","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"18","Jun 14, 2020 10:27:40.747952000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5df7ac47402e1c5d4362dd8c4f11f7ee29ba3ec90788c40644f237b3ef7785d328226cf182e3b04f35c961b37ce8132b2c953","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"19","Jun 14, 2020 10:27:40.950888000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df7a3f080da45cb9f667b2913f45ddc8a4e2303a7493a4889006ffae411729be86f0ed394b25658acf0e8df6792b6aa7af51afff65e274cdefe0510bd2fd3a19acc88bbc630af14af2d9a7988af95d4e4acad61b132dc81a6638a86141156d26db63","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
