frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 14, 2020 10:28:49.556335000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dfbe364d1d53c5582f1abae3f7739d37f8c7303a7493a4889006ffae411729be86f018b87e5aae4537769332e5bd3284d4aa3fa2614210bcc184d4cc0429a43bef408a434060a8cb5aa9e5a726e911e03982cac9338028b73802cf411ffd2c09dea2","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"2","Jun 14, 2020 10:28:49.833301000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dfbf00df8d732e4224a1ac1c9969c672043947e82de4f0d944c64e0cc5a9cf09581ae96a2089736e8af60df0c8f478cb2c85","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"3","Jun 14, 2020 10:28:49.836808000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5dfbf4810e3d94cc1ef7d04e14d0721d4184de3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743e4e14fa18006a65383d98a56adf039535452797def1eb00bdd11409c7497a483","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"4","Jun 14, 2020 10:28:49.961672000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5dfbf91460d26ff68256429e6ac475caefe832d78bf3ff643f5bb5255cdac31d28078b3e256e7ab17b0be6be83df8ef2f38fa","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"5","Jun 14, 2020 10:28:50.068474000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dfbf7be71ad81c6212acf3c615112df36e5c303a7493a4889006ffae411729be86f0bc68c86c2d593c34ca909ccc078e1a8e37edbf175eac25d6a8c1763e16ffb3d8320febbf207022e1b2548117cdee244e88365d51766fcc1c813845bdf9db40da","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"6","Jun 14, 2020 10:28:50.142683000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dfc029c707bf6bd2119d823e4efe5598596b47e82de4f0d944c64e0cc5a9cf09581a33c6107683d418c7f181706cdd924731","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"7","Jun 14, 2020 10:28:50.579397000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dfc06c7102a376e613553ed2ea8140ba9bfc303a7493a4889006ffae411729be86f01149fd281cffae377358259f7de0510e46dd7d6f3dda786e41c72a2979f58c3429b3c18dee994cd46873fdedab101abf296c7e7ac22d70870ea7916d60152ca1","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"8","Jun 14, 2020 10:28:50.753588000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dfc02d7cbba71909a738bc42fa37a2e08f1547e82de4f0d944c64e0cc5a9cf09581a2a4439572f9397bfdf19cf38ecab08dc","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"9","Jun 14, 2020 10:28:51.090993000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dfc058b86736509793ddfbb9774551f0e000303a7493a4889006ffae411729be86f0f5235ecb83af60e84481dbb2a3beb55e1d86eec8bd9dc34614cb26ac4b5bef197dd79d46c2f3f39e81561b8d9a5d92dc122668c7859d0cc5b8298c553957068e","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"10","Jun 14, 2020 10:28:51.349967000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5dfc1db69c41cd52ea7e73e31021e0f7e652be3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743536aa3010cf356d56d3043184605a54dbdeaa1ee316d7eeca496123e4b9c0efe","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"11","Jun 14, 2020 10:28:51.358458000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dfc13527b24385cf5bc8425de5a81038f50047e82de4f0d944c64e0cc5a9cf09581a8029e1604eef74e0a9c13b9d2875ccf7","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
