frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 10:19:52.147920000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dda6a9f8dc3c0aa2d9de05376b1fba06d104303a7493a4889006ffae411729be86f0648b037a16cf90533e760e0603b045e7a495b4444fe62b1b928886b3309385742bb9ca0a83aec4fdb23bc2ab3897969665e8d9fa7ae0f346017da5188a49ef6a","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"2","Jun 14, 2020 10:19:52.219274000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dda679f3f7065582dfed7f55dbf61c6570f047e82de4f0d944c64e0cc5a9cf09581ab07542765ea5541ffd4631b0017c260e","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 10:19:53.172434000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dda78de83a439f521149ebfb8fca9113d673303a7493a4889006ffae411729be86f037fa8288e8382714822befe838dd12d17fb481f1c51d1c1b484ce184226626653895b7f4d0782b8cad952aaf9b6c6f633cce82478f50bfa672ad3ff81c64e230","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 10:19:53.450197000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dda7a90e60be509f5ae36e3c901b8dbbeac447e82de4f0d944c64e0cc5a9cf09581a2bdfbb41ea5373959bbff7d48b70e041","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"5","Jun 14, 2020 10:19:53.454837000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5dda7ffab4d0acc274ca49f51fa046cb0cb2be3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60b127d9af5486f124c95bfadcb8151402533a9851660ef3efd4002fe4c925bcfa","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"6","Jun 14, 2020 10:19:53.486206000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5dda72225cc92d5937e1c3f5ebc7edad64912eb7139dd7fcd1cd29ce6c930aed83c70b1741cf891766068b888ae4a0fbfaefe","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"7","Jun 14, 2020 10:19:53.680652000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dda767ba1540224c502b0142deb313509741303a7493a4889006ffae411729be86f0f4646bc7fe9d6367848b19c9306d2622611e23b6fe0cf6087360d70b09cf97f647942a8437cb6abb21aa8fef114e4c8790a8e997b843305d7ebc8a0f5d34d176","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"8","Jun 14, 2020 10:19:53.757662000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dda7cae5616da91a6344afd765f06fa9f8ff47e82de4f0d944c64e0cc5a9cf09581a93b77d231fee09b6fc0946d93e3727a4","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"9","Jun 14, 2020 10:19:54.192065000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dda74db34bb825f6bab1505debe6b99ef4ba303a7493a4889006ffae411729be86f0411ae8367e89c70cb69ba9a18821dacf348643ba4329abb9e2c14320719009202f20c63677b0ad09eef7a6ae56645635d66e41c01f22a72910436e47ce7aff9c","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"10","Jun 14, 2020 10:19:54.217520000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dda8e1fdae649543e1e208dc4668c0e7b54e47e82de4f0d944c64e0cc5a9cf09581aaeb8a2303e851ab8c0fe34f405ad90d7","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
