frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 14, 2020 10:21:36.496802000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de0e8da75297279bd17cebeff86087b683f3303a7493a4889006ffae411729be86f0a3b02198b46278fd4606a548ede3dc581aa3befb7d15af36f5da9d106a10c932b1cf4545581c43898c35569972c37eef769f8301d40feaa80955015bbc9968b9","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"2","Jun 14, 2020 10:21:36.669864000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de0e47b3e2e11d02ba1415f58bfbd3cca4fc47e82de4f0d944c64e0cc5a9cf09581a79be84df026755926b0e1145c949aa97","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"3","Jun 14, 2020 10:21:37.516389000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de0e8667b8dbd912cfcf4a181484ba722f84303a7493a4889006ffae411729be86f02a05dbaa96e181088d0a2d2e30eaaaf1345797cac95e4fa4115e693ddc8d25d6bcd8cacb7a5a77f2d3910f55177cf809c198cfec59f656d1d6a930b82ec62dc7","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"4","Jun 14, 2020 10:21:37.592863000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de0f50d8367ece616854c32f1436922809ea47e82de4f0d944c64e0cc5a9cf09581aad4b057694a58f10a45b0b2ce1ea5768","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"5","Jun 14, 2020 10:21:37.597115000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de0f7b13677398e660ea644f77312212bd41e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d604584aa5131a90e839c385a303a266d96f2959af234f8eb059e56a9c3a38cde80","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"6","Jun 14, 2020 10:21:37.629349000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de0f604f4812a50569a414eba2d07f50f9bbec3b630329c6d15d11c9b372db28b67e14687e182b99217a3dd570e34ca9a56a","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"7","Jun 14, 2020 10:21:38.544727000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de106b1541110e8939f21a2acf3ad9661814303a7493a4889006ffae411729be86f0bb4a7a1d9b0640ab6352a3cd59560a1f74ebc864d63b8e7e95394278851b8f3a58d0c660743921f70db6fdced1f6bcf4716a338ecd32fd3249b48af62d0c20ed","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"8","Jun 14, 2020 10:21:38.821087000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de10d59ea9c8f8c65be0a5ec8a73eb9b04fc47e82de4f0d944c64e0cc5a9cf09581ae1847f91b17c3f80862fa78be2d60f09","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"9","Jun 14, 2020 10:21:38.826784000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de1095eb0ca1187bf915d7cb60538087c82ee3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60d1b50ef7e9e5b2cae82461e1da7dda5c497abe0712762870be75c30cfc0917e1","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"10","Jun 14, 2020 10:21:38.858291000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de101ccf42d56e5f7ddabb603462c88f3ac515e769139101a6ec241e3628f73c9b85227e62eb11e6b5ec9a1ca1cad01205cb","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"11","Jun 14, 2020 10:21:39.474772000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de1044317d1c9d7004e9596e97e74aee759b303a7493a4889006ffae411729be86f014ef625d364cd0bd3146f8316c6f26a18e238849f252118d2eb8c0714f40099d2f741e2852d2ddf4019a16616df2f6f682cfe54753f5ac90cf520d72a3d3e97e","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"12","Jun 14, 2020 10:21:39.506844000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de1145d9b1c4dca06da51e319602d2db146b47e82de4f0d944c64e0cc5a9cf09581a26d40eb85665707673c9af45dc5d3bd0","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"13","Jun 14, 2020 10:21:39.973332000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de12fdc5064e619c1f98674bc70833d60ad7303a7493a4889006ffae411729be86f08aeeb9e207416cd3b6b4b44d56ef6e8d266c18c724885206378b2487b8a8f9055cfa29518b4d1f741c3885a8cc618490d0388f8b2d211e81a1674dd265be196a","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"14","Jun 14, 2020 10:21:39.999303000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de11d8a4a079ff2ba48b84612b6bc30d232947e82de4f0d944c64e0cc5a9cf09581a60fc7c0e379dacdb9c037af35f86919f","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"15","Jun 14, 2020 10:21:40.131315000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de12e8201a3e4cd90109addb086fbbe928b4e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d6088777186a5a539ad391e1df445fc2b2969c9946f42b59cff7ba00627a5ea1eec","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"16","Jun 14, 2020 10:21:40.189550000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de12a94700ec75997d3fc87be372c5d41711e62f9410958f20508772370be37d41de820662a4942395a02aa17b8236965e20","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"17","Jun 14, 2020 10:21:40.486108000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de1236a2a1ec13fbf73e3e15b9ab7165e14d303a7493a4889006ffae411729be86f0c27f6a6defd80f57fcf2bbb676a08a452d836ddfdf321c51be8efc39388d6227adc0856b68528eab8e615c383e70800921e2211fb8a88612a94de04fa569105f","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"18","Jun 14, 2020 10:21:40.523762000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de12b5dd99d8b06b1ccdab6292f5b236741847e82de4f0d944c64e0cc5a9cf09581acfa6fddb01e224393d23e85bad1e47fc","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
