frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 10:25:41.440878000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","ff:ff:ff:ff:ff:ff","192.168.137.1","192.168.137.255","17","53706f7455647030595a3ade107cf954000100044895c203ef7a6f0c16b5f36a61c6ef69e5aa60dfae24e914","44","57621","57621","52",
"2","Jun 14, 2020 10:25:43.184126000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df049ec2adc00aa758983bac8ae5f41f0de9303a7493a4889006ffae411729be86f06b9a187d75261c3dd0ef41ae998fc19efa045c361f3376cbe5b6f6060afe5b8222ff1e6713d28cba02cb653a8aed3050aac0bcdbb5e0b79fbb3b6a29b6ba13aa","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 10:25:43.358293000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df05240c10014ae77aef4a3db9a145f5df7a47e82de4f0d944c64e0cc5a9cf09581aa5fcc053b334db5c09189188bafd0675","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 10:25:43.362578000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5df05b77645c2ff70e4cf777c0158964b5b28e3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743f9b4af67726fac62ebb82bf8b4cc62f4c7511e5054e512f0d3ce6e12a095f1dc","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"5","Jun 14, 2020 10:25:43.394952000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5df05786bba4a2bc0492d04f28280ad6b8c694da1f56b08044b37c3b1acad6a91d4fee20291e46f78f8ec5c83e254f63c35ca","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"6","Jun 14, 2020 10:25:43.691932000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df05dd112aa636ab491b6f68d55312a12352303a7493a4889006ffae411729be86f0ca1801d5895388a36285e99340c3e8cf5cb17a4f44814a190e5f1c6a896600f03b04c70087697e11b326aaaff27ce890db288d3db074f788200282cc576cda6a","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"7","Jun 14, 2020 10:25:43.983128000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df05be2b4d1eea057ac62e2fdcdd8a920f4247e82de4f0d944c64e0cc5a9cf09581a183e6c2a1ff698f0ef6f35e0e7004f76","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"8","Jun 14, 2020 10:25:44.203910000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df0548260d24054e6733e2a7ac755504446d303a7493a4889006ffae411729be86f0ddf9f8ebdfde1c1d0d123d2afa7cdc316146524378fe62f95792d5b73cf3342844ff166fff5bcf68cc53dddf56b98652b1a977e65e48da16ce1a7811f4869b5d","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"9","Jun 14, 2020 10:25:44.278828000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df063026af5f97cfaf5f50fdc7fad03267a647e82de4f0d944c64e0cc5a9cf09581a9a2b40a0c27e4b29f4e1ac48643fc9bb","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"10","Jun 14, 2020 10:25:44.586642000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5df06e12ab0067fde7be2bac6556082e6e9f8e3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b467436a0e220621525987eb2fc4bc4e2873385743a2908cd6bc8a7e954195ea5e8276","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"11","Jun 14, 2020 10:25:44.623399000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5df06568cf2ed5d9ea0bb3ecb56d89e35f31980d3e2f9e71d742a050cfd5fee87605b07f1992d9944ccf5f190d7f461c28d5f","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"12","Jun 14, 2020 10:25:44.715522000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df06415b7452f6448026b7d60e76497e9a18303a7493a4889006ffae411729be86f05bfbbf444a78d73b6b1cf3b5404518f75fcf00dc1ef80aa7bbef244699462bd25c22b46d8ef8e064313e86a4943327e842385c2be756aed23e128c68abbc77b2","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"13","Jun 14, 2020 10:25:44.903263000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df0617566a804579065c0a984769d00418f647e82de4f0d944c64e0cc5a9cf09581acf6699e2b0bce74d54a993fde69aae61","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"14","Jun 14, 2020 10:25:45.227455000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df063bbc5c0cce6b31742e58d51562c8f355303a7493a4889006ffae411729be86f0365fc6a2a8af881ba23c219f870291a5e6579a7d61ed106a6ec9f8beca6bf167c6ef6ad1485d373d29971ac2ab3bd48fd86b1516f74030cdd3e709ce036e53bc","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"15","Jun 14, 2020 10:25:45.253899000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df0755c743635d81c47e7175049bac301a3147e82de4f0d944c64e0cc5a9cf09581aeee9d58b46b8a2e35b09838706b2b9a7","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"16","Jun 14, 2020 10:25:45.743710000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df089750c1c24bc9ffcd0ca3058e781ee69e303a7493a4889006ffae411729be86f0e1cab6e9b46eef5cccf50d53d3da6f6796331583d2d6a8bce749a6fc0c07c7222a1c08665de8b7f57c7e8267c33873bf4c330456e8458c18dd5e29b8727619c8","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"17","Jun 14, 2020 10:25:45.765606000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df071d072f953e1fc4fb483d8bbb2b171f9c47e82de4f0d944c64e0cc5a9cf09581a06067c7ac9823d245aac981bc0ea0365","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
