frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 14, 2020 10:27:09.509411000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df5bd7c18061fa8a80bf582df2ddb2819cd8303a7493a4889006ffae411729be86f0f79fbd0f3ac74c36a2b463e8db335d533a91cb80f428fe207c8cabe67d8d06d9970af6743260a39e51f997e95c7b26252d289032d5c7200810df3f7276a511a0","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"2","Jun 14, 2020 10:27:09.684221000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df5bb19e004c674776120071479decc7ddac47e82de4f0d944c64e0cc5a9cf09581ab6a7c823ce1a7b0fc71082b99dab3a3b","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"3","Jun 14, 2020 10:27:09.694461000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5df5b20974327c65719e89bc3f1f8135e3fcfe3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b4674388cdad5e0175e4e6dc55bb244648a4619e640bac3c7fa96bd0ce89101763c564","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"4","Jun 14, 2020 10:27:09.720889000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5df5bade4b1e83af987d73e970559b8feb4e4e26d4abc9ea84b06c71c3bfd29c5b61c587464609a03fe95eb7f7b80ce832d91","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"5","Jun 14, 2020 10:27:10.017284000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df5b25deff63c7190b5c6717fed1258c1379303a7493a4889006ffae411729be86f01ddea72e6b30b7a2c8253a8edf0991e4a002f627e7207e3026c6ae90ad8bc84e52589e104c8d2bcee8c9befb76792dcd0df553a2e45543c39b5325990d2c5609","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"6","Jun 14, 2020 10:27:10.297439000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df5cb89c980c4f1722e6aecff6c6e9acd0d547e82de4f0d944c64e0cc5a9cf09581aedd60422aad587f10638b2aa32834b29","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"7","Jun 14, 2020 10:27:10.530331000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df5c687964a0b047979e910d3216dfd22d01303a7493a4889006ffae411729be86f0adce687a9401f99fe3b5a321808a09d7786700364b79ca02d9c0222398cf460d916184f49824b7551243db70969c45030839d7bff7ab5c507261b3a36ffc8009","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"8","Jun 14, 2020 10:27:10.614758000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df5ca92fe4bec1a6c7c1eacdf370ece566c347e82de4f0d944c64e0cc5a9cf09581a31231b3ee83e1c03235d00de6969d309","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"9","Jun 14, 2020 10:27:10.836299000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df5d115ef5624a2cbf03683c030c2be99715303a7493a4889006ffae411729be86f0fa09441395fcdb70c361eeeb727aaef3aefc1a9337b5db64940bb565541dd071c6107e1df3690db1a8c1826951b70b20dc3b0772f6fe956a604ce7dded1d8ea8","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"10","Jun 14, 2020 10:27:10.906876000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5df5cff6e7bbe76797184e04cf41dd9b5db13e3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743705a10b0a581f7405d2ed979c4c2ce6c0f1fb1dc2d6ad573e8356f27ca787e0e","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"11","Jun 14, 2020 10:27:10.912666000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df5ca4ae5ce1c3f82dae33ab38bc98abd0d947e82de4f0d944c64e0cc5a9cf09581aa5ab651c883952d7a655508a17029f30","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"12","Jun 14, 2020 10:27:10.948532000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5df5c98b45bcd4a539b7f46aadac11b5a98a1e0cf1ed7fdff25d13cae9ef5e88a1caf43882f8b17bf4ef1391115b7badf0d13","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"13","Jun 14, 2020 10:27:11.205271000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5df5daefcab2a21f3bf1e162007a40465f63ae3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743fa72421384bf251b29b84fbcc557b6626762613b2315fbdab2f23f1d22d2cf2f","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"14","Jun 14, 2020 10:27:11.258184000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5df5d0d291ed3a076ba428ae3e4bc7b885b637e5272587ed69e45194f60295b553f9e73474b4d48d5f27f83f3369e48d87408","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
