frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 10:14:19.873178000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","53",
"2","Jun 14, 2020 10:14:21.838724000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:7f:ff:fa","192.168.137.1","239.255.255.250","17",,,"51360","1900","134",
"3","Jun 14, 2020 10:14:21.918932000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310020000000000721ae555ee5dc5b9cf583cd940745d7bf9e1db110877280","32","54321","8053","40","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 10:14:22.009792000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310020000000000721ae555ee5dc5b9cf583cd940745d7bf9e1db110877280","32","8053","54321","40","XIAOMI Electronics,CO.,LTD"
"5","Jun 14, 2020 10:14:22.128625000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","192.168.137.1","17",,,"68","67","316","XIAOMI Electronics,CO.,LTD"
"6","Jun 14, 2020 10:14:22.167141000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","192.168.137.1","192.168.137.44","17",,,"67","68","310","XIAOMI Electronics,CO.,LTD"
"7","Jun 14, 2020 10:14:24.052129000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dc5deece744bcaa9286017319ecccd3be439303a7493a4889006ffae411729be86f0e3ae9a78061017efcb1da15f45c434f716f05349c39377e1344b1ed2650516f8814b745ed0ffd42b04a6bfd4046e1e35618d90b0cda97f0d7887f187a36d9f61","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"8","Jun 14, 2020 10:14:24.120925000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dc5e57dd3780d920a9409aff29bd8dbde4481bfe3291f9686f3b8444748cb452e37979c4c8fb011c599f426fe29b4178fc19","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"9","Jun 14, 2020 10:14:24.572540000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","213100a0000000000721ae555ee5dc5e7b455531476a02c7b1db1ad2b144025a303a7493a4889006ffae411729be86f0ae3cf81e03d288196863240ae7efa841a58fad8bd51467f35f3ec0a3bdbd7141e9cccb632be76243c88c61410350f0bc8b5821c371f65741e743cf34acd1145ff9a3456207f11a44fac60452b8b13357439794c457b8147913546ad4e2fe3472d1c9bdb7784a2edb68b4a7c8af3a3825","160","8053","54321","168","XIAOMI Electronics,CO.,LTD"
"10","Jun 14, 2020 10:14:24.739338000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5dc5e642cb2c8fdd933865891c5b1ba15795a03e0472d67c8a52df568b94a3a9bfc38be653f6a9fcbf36222fb18605c6ad5e3c3076c01fa0cdc75a3e97a74fe1f4680a3264572fd08a5d9e360ea2edd983d49","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"11","Jun 14, 2020 10:14:29.933618000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","ff:ff:ff:ff:ff:ff","192.168.137.1","192.168.137.255","17",,,"138","138","209",
