frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun  6, 2020 16:54:20.006219000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","36",
"2","Jun  6, 2020 16:54:20.007393000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:00:00:fb",,,,,,"5353","5353","36",
"3","Jun  6, 2020 16:54:20.008891000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","36",
"4","Jun  6, 2020 16:54:20.010099000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:00:00:fb",,,,,,"5353","5353","36",
"5","Jun  6, 2020 16:54:20.012841000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","36",
"6","Jun  6, 2020 16:54:20.013654000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:00:00:fb",,,,,,"5353","5353","36",
"7","Jun  6, 2020 16:54:20.014798000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","36",
"8","Jun  6, 2020 16:54:20.015575000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:00:00:fb",,,,,,"5353","5353","36",
"9","Jun  6, 2020 16:54:20.016603000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:01:00:03",,,,,,"60728","5355","30",
"10","Jun  6, 2020 16:54:20.016718000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fc","192.168.137.1","224.0.0.252","17",,,"60728","5355","30",
"11","Jun  6, 2020 16:54:20.017250000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:01:00:03",,,,,,"61813","5355","30",
"12","Jun  6, 2020 16:54:20.428001000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:01:00:03",,,,,,"61813","5355","30",
"13","Jun  6, 2020 16:54:20.428323000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:01:00:03",,,,,,"60728","5355","30",
"14","Jun  6, 2020 16:54:20.428398000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fc","192.168.137.1","224.0.0.252","17",,,"60728","5355","30",
"15","Jun  6, 2020 16:54:21.002719000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","36",
"16","Jun  6, 2020 16:54:21.003559000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:00:00:fb",,,,,,"5353","5353","36",
"17","Jun  6, 2020 16:54:21.004611000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","36",
"18","Jun  6, 2020 16:54:21.005399000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:00:00:fb",,,,,,"5353","5353","36",
"19","Jun  6, 2020 16:54:21.018331000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","36",
"20","Jun  6, 2020 16:54:21.019282000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:00:00:fb",,,,,,"5353","5353","36",
"21","Jun  6, 2020 16:54:21.020303000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","36",
"22","Jun  6, 2020 16:54:21.021090000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:00:00:fb",,,,,,"5353","5353","36",
"23","Jun  6, 2020 16:54:30.725104000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:01:00:02",,,,,,"546","547","103",
"24","Jun  6, 2020 16:54:39.099200000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","263",
"25","Jun  6, 2020 16:54:44.447273000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","ff:ff:ff:ff:ff:ff","192.168.137.1","192.168.137.255","17","53706f745564703027570d3f3d27d128000100044895c2034e28d891c91c457ab98d7e4f7ad708f6dd84eca6","44","57621","57621","52",
"26","Jun  6, 2020 16:54:49.971758000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","53",
"27","Jun  6, 2020 16:54:51.981358000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:7f:ff:fa","192.168.137.1","239.255.255.250","17",,,"56640","1900","134",
"28","Jun  6, 2020 16:55:14.467976000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","ff:ff:ff:ff:ff:ff","192.168.137.1","192.168.137.255","17","53706f745564703027570d3f3d27d128000100044895c2034e28d891c91c457ab98d7e4f7ad708f6dd84eca6","44","57621","57621","52",
"29","Jun  6, 2020 16:55:33.670931000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:7f:ff:fa","192.168.137.1","239.255.255.250","17",,,"49209","1900","178",
"30","Jun  6, 2020 16:55:34.680823000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:7f:ff:fa","192.168.137.1","239.255.255.250","17",,,"49209","1900","178",
"31","Jun  6, 2020 16:55:35.693532000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:7f:ff:fa","192.168.137.1","239.255.255.250","17",,,"49209","1900","178",
