frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 14, 2020 09:53:31.753192000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d77a9c21d8ff77079a373118b2261c48df56e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60c4f95f5db2a28e589c56a07e94f7717ad99c2f04d4c478b0ee9ce01f9b74209d","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"2","Jun 14, 2020 09:53:31.777312000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d77a99753cc5a70af20fa4bdfbc2645f8dd4e95255be2985cd8571f565e7d1f41de7fd869f3f22e64fbb535175ea2c519e28","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"3","Jun 14, 2020 09:53:33.053068000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d77c487b6ea583d2b573b1e68782c8eea528e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60c6b1fb19dafac6e369bec30b59420596629b5b224fea75393ecedd0c61bec842","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"4","Jun 14, 2020 09:53:33.108737000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d77c7b2715ab91255b1c14693f7627df7d042321f9e33d6350ee06e059ceea203b67572e830426c31cc8feb6ed3b6f0e33b4","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"5","Jun 14, 2020 09:53:34.253192000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d77d835b88d813f543552606503e4ae798cfe3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d6006f188fd40011bee0838fb2c871d33a90378d5fcf1b89337d5674ccc79ffba85","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"6","Jun 14, 2020 09:53:34.337762000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d77d6f746006d9b05d9b3ed5ba8ddbb2a1a7f144997b695f109b1b5d268fa582fa0c5bc37942c9a1cd47579fca9dc60f399e","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"7","Jun 14, 2020 09:53:35.473767000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d77e414acb55addea6d8d6d8cf21481c2762e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60c2cfface313c5e0b335b4d7e9a45120a12eb1bdc41ebcd000f62a3a3b24b311e","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"8","Jun 14, 2020 09:53:35.566496000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d77e9bf4b557721058ab3e007433770806bc2545db88ab90e2889f1118baa1afc91c081198c74d70f8501ab86ec951a4a4eb","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"9","Jun 14, 2020 09:53:35.752786000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d77ef29faf03285a2b813fb0aeac4c7fcd52e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60d6f512fea53002cf02ce90817d35c38c2bf58a33cb2728fc7089c89f8b887328","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"10","Jun 14, 2020 09:53:35.771773000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d77e777973b70415f3d4e485b70e85b0eab3a58b9742024a2ad7e23cd034444ac29a119d13ddf0289698ce9c261df73c4cf9","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
