frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 09:55:26.585573000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d7ed8e4818b4e397ba73da9d8f9d2b626970e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d604c8fc4de90851b8b84fb385f2f46d6f18086c94a2cc238857be709032cb3c4e4","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"2","Jun 14, 2020 09:55:26.675039000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d7ed890b57b5b750bba5ca3e850c5bb7bfe93cbddb721266aca7969cb3ff8b12be9b19160c9fba822b6f1ac82ef3d953f098","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 09:55:27.985434000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d7ee28a4b787fb1bc845200680878a38de7be3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60db127f5293d4c4f43ebbb443014f93671bad01e8b05e3c877d5bdb4b7352b722","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 09:55:28.004321000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d7eedaf6023fd3a7f7d43cc24916bfb0ead524d8f973da21b5c2a5a9fe537e57c5b7bf8a9c8d54437791c395315d385b9b89","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"5","Jun 14, 2020 09:55:29.292358000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d7f03174114854b911ca37388b130387478de3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60d800f0ecbf93fc31179133acb79efca6f2dcef3adeb084baf0dc2c89994ae842","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"6","Jun 14, 2020 09:55:29.335443000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d7f0c7a59d6ce82e0cf0c87340ec0c46c8d518d757dd7cff0b89fbc6f9353744f1fa5771695a87bb1cbbacc032efca6dd5c8","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"7","Jun 14, 2020 09:55:30.485306000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d7f1bbb0488dd5a4e9471cdf587a976a8cc7e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d6086d731046dab2bc22a1206c7517f7d824d5a6dffe3131ad9a1d6891113156647","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"8","Jun 14, 2020 09:55:30.564378000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d7f194715081ba80e2c9ea9f9289da85778237a5c7b83094e243ea6509ae23cf9e47808b07e5d1a17ace9e2c419692967096","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"9","Jun 14, 2020 09:55:32.017806000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d7f2d2138eb222a42c93de1be65dc2cbaadae3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60d792f8ea4add75c26f08b246e263055201f58cb49ebfb825fdc529817917b83b","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"10","Jun 14, 2020 09:55:32.100823000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d7f20e0a6ada918b72b2b1332b5bd0f60990bf362965db56dcb3c5e83cc6251520bd3fe7b1fa40724e107c4942aed30121df","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
