frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 09:54:03.653808000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d79a739f5c705acf8d931ab653d17675bd77e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d600877516eedc81c994753ef6db5b86d7f764e9f637d52aaefab4d39f3bbe197d2","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"2","Jun 14, 2020 09:54:03.727100000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d79a61d295a7fcab5b7ca4b62b97a9ab3a6cb761e315bd2a63ecd53885ed591fba55bb7d551d4318cc7f41f7861a47bf5caf","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 09:54:04.863344000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d79bd2f8decb8ff5c4be754154fd40359236e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d6071a2610287d4d27d466179b5ac3b61256345866f099d19b306f112492c342ea8","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 09:54:05.054499000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d79b7fb34ee4b74bf9617c88e5a3952084fe37889eaa56b4db7aaaf44995d1e47cd15ef37dcdc2a5eff3bcce25afcaf9b0db","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"5","Jun 14, 2020 09:54:06.153997000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d79d47e8ba00feff8eab2fc31b822bb01d58e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d605b94ed3e95c52df73b1f8fae16d444e0ebde904e809b04f66b10b53c5a555b4b","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"6","Jun 14, 2020 09:54:06.185462000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d79d575ee1f73c29e872cacf9fcdcd8b2eae717acb73cb6eedf1f367c853add10b284a134db7a6b1584a4db2906f846feb4e","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"7","Jun 14, 2020 09:54:07.353630000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d79ebb961558790e87e5231e14b5d96944f0e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d6073a57d94a4d1ac47b7268209efb4f02561b882932b0f70706bb2a92718275b02","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"8","Jun 14, 2020 09:54:07.413985000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d79eca7f10383236acb7a2666ccce08aa9edd8d699d91648c8ab5e48a49c00fb76ae08e2999e89b03c79f4dd28deb9bfc8c0","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"9","Jun 14, 2020 09:54:08.972613000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","ff:ff:ff:ff:ff:ff","192.168.137.1","192.168.137.255","17","53706f7455647030595a3ade107cf954000100044895c203ef7a6f0c16b5f36a61c6ef69e5aa60dfae24e914","44","57621","57621","52",
"10","Jun 14, 2020 09:54:09.471869000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d7a09efba92e74f188367a5969476eb62637e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60fe86c14f9677a328be97a53f9d1ace2518ce33031a061279ca7ff20406d6e566","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
