frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  6, 2020 17:30:57.399413000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310070000000000721ae555edbb6b0bedafcd2790391cd943ccacbc4ec1f3b303a7493a4889006ffae411729be86f02b3bd15105e832ae44e72a9f951c797b6556a61f8700816208653f2917ef13ab595e5baae8e74211a4880cc9a959602742e74d98b581a8c5b87d6a468ce30e41","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"2","Jun  6, 2020 17:30:57.470850000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310040000000000721ae555edbb6b0a301dd7c492113d4dae804f85d37d17a47e82de4f0d944c64e0cc5a9cf09581a4ff18e3febd77706fcfe1a8e1f0958c5","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"3","Jun  6, 2020 17:30:57.474483000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310070000000000721ae555edbb6b024febba76abb8b671fa330ebb5b5d74ae3fafc8f5abaada60b30ee7a1337a1a1ab4d633f038ea3a868adcbd8844f5defa3be62b9689852e34bb71fb4abdd477fb8783af5cbe33b22fe12b7e6cdd168888b3da7353380bdc64f0ce7210974b934","112","54321","8053","120","XIAOMI Electronics,CO.,LTD",,,
"4","Jun  6, 2020 17:30:57.511493000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310040000000000721ae555edbb6b0a8baec9c3af7b789e53a5760fc5daab6f258eca70ed5904b18a19cb1d7b4d6ef6d37120a62d676f72cc3f5b8c8f9da87","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
"5","Jun  6, 2020 17:30:57.603504000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310070000000000721ae555edbb6b0574ce8800a0e28aad3086da82b99db1e303a7493a4889006ffae411729be86f091bc00e5a9ce30e447447536c700c319cd6fb6c5df096f4643367985d121f16087ecf16c5516b87e26d03ad464ed4c9395503f091e776df743531867b7054fdd","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"6","Jun  6, 2020 17:30:57.775552000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310050000000000721ae555edbb6b093ec9cc655d1fbf554304f6e060cfcfef6d797fd85609366058b2e99f634156f8b359cbfb8c7d8a76e9dab4a3bfc50bd241f192b119ba0509e1c6b9386543703","80","54321","8053","88","XIAOMI Electronics,CO.,LTD",,,
"7","Jun  6, 2020 17:31:00.676312000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310060000000000721ae555edbb6b32a5f6aeffb08551b7d985aa1f91e3ee9303a7493a4889006ffae411729be86f0172829094c2de3ce8fb34b1b63eea2baa3683761e320b3db41e939b26a6e496900f8e027febeaa879f4985c1186b83c9","96","8053","54321","104","XIAOMI Electronics,CO.,LTD",,,
"8","Jun  6, 2020 17:31:00.693771000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310060000000000721ae555edbb6b31c5592fa9b7aea12b0904545f462d64ae3fafc8f5abaada60b30ee7a1337a1a17c5367a610427a2595f7faa7f4be4caf73f462c2c90781a4bf54bc73c19379a75178b85c5e8ab44e1d23ac779a830f66","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"9","Jun  6, 2020 17:31:00.699575000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310040000000000721ae555edbb6b35811e76250fe1f0985f321c433817eb11878a73bca52d4e08c27dbba46fb6113d9e92fdfd16a75a8e7cd3d43b500d938","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"10","Jun  6, 2020 17:31:00.788452000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310040000000000721ae555edbb6b349b9515712074ef02cca75c428a1c7aa344fe464e0792a30a0e22aeb14df2298b82807df572392986160fdb586a061c7","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
