frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 10:15:16.889636000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dc932c3941d0709ddcdfb6e608fb8eb3e72e303a7493a4889006ffae411729be86f081062489f88d43c61a590ff6a757ad5862aa3f2116a9f835b8edbc89acdc006e7a6e23227171c7c09cf15fe7e267d22c0f5483d099aa96903b319edf5bd8e64f","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"2","Jun 14, 2020 10:15:16.963873000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dc9221238e5b1546315e08ea5e231736c61447e82de4f0d944c64e0cc5a9cf09581a9bfbd5f28fb63c224799f9d561626b75","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 10:15:16.968958000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310070000000000721ae555ee5dc92886f77ab4326d9690fe57f3f16caab11e3fafc8f5abaada60b30ee7a1337a1a1ab4d633f038ea3a868adcbd8844f5defa3be62b9689852e34bb71fb4abdd477f31d8d58540a25d0e55c411d2161def250d6b43eec86ed89b5436c5045cc9c9e3","112","54321","8053","120","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 10:15:16.999444000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5dc92213fda8a5f1d6f0a0d6e69475f2c25373ca16663838e540f1f9c0eebc8be4ac5a2ad859ae91e665a93abb89b65cdf87e","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"5","Jun 14, 2020 10:15:17.090999000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dc9267ee93449110822170e4201e08f62387303a7493a4889006ffae411729be86f051fdcc5de41226ca7d847f99964e6ffc700be4698a5d1a22adce0400f8e32e84b05fc0a3ee948275a32f29154a285e554d94d3c47a2ff59812c7fab0933348fc","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"6","Jun 14, 2020 10:15:17.268707000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310050000000000721ae555ee5dc93b301382d5972a54e3f7ca73054d98058f6d797fd85609366058b2e99f634156f8b359cbfb8c7d8a76e9dab4a3bfc50bd2a68396ccd718e07cadab6fdb7bdeaf6","80","54321","8053","88","XIAOMI Electronics,CO.,LTD"
"7","Jun 14, 2020 10:15:20.189365000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5dc96218ae3379adbd154987e121a7a9dc63be3fafc8f5abaada60b30ee7a1337a1a17c5367a610427a2595f7faa7f4be4caf2b7423ab26c07b9c48f093f5b990e8e1093e6b3c24774fc8ddc7ba88cab55c95","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"8","Jun 14, 2020 10:15:20.276440000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5dc9620acbeba8f48eff1083cef8a3f64f3ba4336970c2fb3a9bf139b8e4d7a0a8b7485dcedc39ca77ee19c4afc8fb6c8ad02","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"9","Jun 14, 2020 10:15:23.583597000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","33:33:00:00:00:16",,,,,,,,,
"10","Jun 14, 2020 10:15:23.584633000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:16","192.168.137.1","224.0.0.22","2",,,,,,
"11","Jun 14, 2020 10:15:23.704936000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:16","192.168.137.1","224.0.0.22","2",,,,,,
