frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 09:31:56.346016000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d",,,,,,,,,"Tp-Link Technologies Co.,Ltd.",,,
"2","Jun  8, 2020 09:31:56.346075000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70",,,,,,,,,"Zyxel Communications Corporation",,,
"3","Jun  8, 2020 09:31:56.865552000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","ff:ff:ff:ff:ff:ff",,,,,,,,,"Zyxel Communications Corporation",,,
"4","Jun  8, 2020 09:31:57.320347000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"53185","53","50","Zyxel Communications Corporation",,,
"5","Jun  8, 2020 09:31:57.320563000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"53185","53","52","Zyxel Communications Corporation",,,
"6","Jun  8, 2020 09:31:57.324219000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","53185","68","Tp-Link Technologies Co.,Ltd.",,,
"7","Jun  8, 2020 09:31:57.324226000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","53185","52","Tp-Link Technologies Co.,Ltd.",,,
"8","Jun  8, 2020 09:31:58.708896000 Mitteleuropäische Sommerzeit","f4:0f:24:27:af:24","01:00:5e:00:00:16","192.168.1.213","224.0.0.22","2",,,,,,"Apple, Inc.",,,
"9","Jun  8, 2020 09:31:58.713943000 Mitteleuropäische Sommerzeit","f4:0f:24:27:af:24","33:33:00:00:00:16",,,,,,,,,"Apple, Inc.",,,
"10","Jun  8, 2020 09:31:58.718449000 Mitteleuropäische Sommerzeit","cc:2d:b7:bf:3b:e0","33:33:00:00:00:16",,,,,,,,,"Apple, Inc.",,,
"11","Jun  8, 2020 09:31:58.913614000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.127","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","50977","0"
"12","Jun  8, 2020 09:31:58.913687000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.127","6",,,,,,"Zyxel Communications Corporation","50977","80","0"
"13","Jun  8, 2020 09:31:59.319947000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"54050","53","52","Zyxel Communications Corporation",,,
"14","Jun  8, 2020 09:31:59.320138000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"54050","53","49","Zyxel Communications Corporation",,,
"15","Jun  8, 2020 09:31:59.320299000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"54050","53","52","Zyxel Communications Corporation",,,
"16","Jun  8, 2020 09:31:59.326980000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","54050","82","Tp-Link Technologies Co.,Ltd.",,,
"17","Jun  8, 2020 09:31:59.335575000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","54050","77","Tp-Link Technologies Co.,Ltd.",,,
"18","Jun  8, 2020 09:31:59.335583000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","54050","106","Tp-Link Technologies Co.,Ltd.",,,
"19","Jun  8, 2020 09:32:01.813146000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","81.161.59.87","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","80","50976","0"
"20","Jun  8, 2020 09:32:01.813236000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","81.161.59.87","6",,,,,,"Zyxel Communications Corporation","50976","80","0"
"21","Jun  8, 2020 09:32:02.091459000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"60927","1900","335","Zyxel Communications Corporation",,,
