frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun  8, 2020 10:03:07.415673000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:80:c2:00:00:13",,,,,,,,,"Zyxel Communications Corporation",,,
"2","Jun  8, 2020 10:03:09.682932000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","34.208.142.164","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","51355","31"
"3","Jun  8, 2020 10:03:09.683007000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","34.208.142.164","6",,,,,,"Zyxel Communications Corporation","51355","443","0"
"4","Jun  8, 2020 10:03:09.683167000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","34.208.142.164","6",,,,,,"Zyxel Communications Corporation","51355","443","31"
"5","Jun  8, 2020 10:03:09.683385000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","34.208.142.164","6",,,,,,"Zyxel Communications Corporation","51355","443","0"
"6","Jun  8, 2020 10:03:09.862297000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","34.208.142.164","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","51355","0"
"7","Jun  8, 2020 10:03:09.862381000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","34.208.142.164","6",,,,,,"Zyxel Communications Corporation","51355","443","0"
"8","Jun  8, 2020 10:03:10.841344000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"51087","53","53","Zyxel Communications Corporation",,,
"9","Jun  8, 2020 10:03:10.841491000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"51087","53","52","Zyxel Communications Corporation",,,
"10","Jun  8, 2020 10:03:10.848025000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","51087","82","Tp-Link Technologies Co.,Ltd.",,,
"11","Jun  8, 2020 10:03:10.857880000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","51087","117","Tp-Link Technologies Co.,Ltd.",,,
"12","Jun  8, 2020 10:03:11.841233000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"51087","53","50","Zyxel Communications Corporation",,,
"13","Jun  8, 2020 10:03:11.846154000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","51087","68","Tp-Link Technologies Co.,Ltd.",,,
"14","Jun  8, 2020 10:03:12.093372000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","17.248.179.37","6",,,,,,"Zyxel Communications Corporation","51366","443","31"
"15","Jun  8, 2020 10:03:12.093820000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","17.248.179.37","6",,,,,,"Zyxel Communications Corporation","51366","443","0"
"16","Jun  8, 2020 10:03:12.104431000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","17.248.179.37","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","51366","0"
"17","Jun  8, 2020 10:03:12.104441000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","17.248.179.37","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","51366","0"
"18","Jun  8, 2020 10:03:12.104453000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","17.248.179.37","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","51366","0"
"19","Jun  8, 2020 10:03:12.104550000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","17.248.179.37","6",,,,,,"Zyxel Communications Corporation","51366","443","0"
"20","Jun  8, 2020 10:03:12.841177000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"51087","53","52","Zyxel Communications Corporation",,,
"21","Jun  8, 2020 10:03:12.850731000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","51087","116","Tp-Link Technologies Co.,Ltd.",,,
"22","Jun  8, 2020 10:03:14.686166000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d",,,,,,,,,"Tp-Link Technologies Co.,Ltd.",,,
"23","Jun  8, 2020 10:03:14.686190000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70",,,,,,,,,"Zyxel Communications Corporation",,,
"24","Jun  8, 2020 10:03:14.921325000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","54.185.218.191","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","51354","31"
"25","Jun  8, 2020 10:03:14.921338000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","54.185.218.191","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","51354","0"
"26","Jun  8, 2020 10:03:14.921396000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","54.185.218.191","6",,,,,,"Zyxel Communications Corporation","51354","443","0"
"27","Jun  8, 2020 10:03:14.921475000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","54.185.218.191","6",,,,,,"Zyxel Communications Corporation","51354","443","0"
"28","Jun  8, 2020 10:03:14.921601000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","54.185.218.191","6",,,,,,"Zyxel Communications Corporation","51354","443","31"
"29","Jun  8, 2020 10:03:14.921764000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","54.185.218.191","6",,,,,,"Zyxel Communications Corporation","51354","443","0"
"30","Jun  8, 2020 10:03:15.099580000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","54.185.218.191","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","51354","0"
"31","Jun  8, 2020 10:03:15.099585000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","54.185.218.191","192.168.1.182","6",,,,,,"Tp-Link Technologies Co.,Ltd.","443","51354","0"
"32","Jun  8, 2020 10:03:15.607799000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","ff:ff:ff:ff:ff:ff",,,,,,,,,"Zyxel Communications Corporation",,,
"33","Jun  8, 2020 10:03:15.840492000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"62808","53","53","Zyxel Communications Corporation",,,
"34","Jun  8, 2020 10:03:15.857820000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","62808","117","Tp-Link Technologies Co.,Ltd.",,,
"35","Jun  8, 2020 10:03:18.068753000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"53581","1900","335","Zyxel Communications Corporation",,,
"36","Jun  8, 2020 10:03:18.273581000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"53581","1900","335","Zyxel Communications Corporation",,,
"37","Jun  8, 2020 10:03:18.376046000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"53581","1900","344","Zyxel Communications Corporation",,,
"38","Jun  8, 2020 10:03:18.478451000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"53581","1900","344","Zyxel Communications Corporation",,,
"39","Jun  8, 2020 10:03:18.581288000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"53581","1900","399","Zyxel Communications Corporation",,,
"40","Jun  8, 2020 10:03:18.773477000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"49614","137","58","Tp-Link Technologies Co.,Ltd.",,,
"41","Jun  8, 2020 10:03:18.786089000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"53581","1900","399","Zyxel Communications Corporation",,,
"42","Jun  8, 2020 10:03:18.840507000 Mitteleuropäische Sommerzeit","d0:37:45:53:9a:9d","98:0d:67:33:29:70","192.168.1.182","192.168.1.1","17",,,"58919","53","54","Zyxel Communications Corporation",,,
"43","Jun  8, 2020 10:03:18.846831000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","d0:37:45:53:9a:9d","192.168.1.1","192.168.1.182","17",,,"53","58919","54","Tp-Link Technologies Co.,Ltd.",,,
"44","Jun  8, 2020 10:03:18.888558000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"52738","1900","409","Zyxel Communications Corporation",,,
"45","Jun  8, 2020 10:03:18.990995000 Mitteleuropäische Sommerzeit","98:0d:67:33:29:70","01:00:5e:7f:ff:fa","192.168.1.1","239.255.255.250","17",,,"52738","1900","409","Zyxel Communications Corporation",,,
